"age","annualincome","calldroprate","callfailurerate","customersuspended","education","gender","homeowner","maritalstatus","monthlybilledamount","complaints","unpaidmonths","timetoexpiration","occupation","penaltytoswitch","lastmonthusage","unpaidbalance","usesinternetservice","usesvoiceservice","outsidecalls","totalcallduration","avgcallduration","churn"
49,105658,0.04,0,"Yes","High School or below","Male","Yes","Married",28,1,6,88,"Non-technology Related Job",462,387,190,"No","No",0.01,1403,467,"0"
41,96891,0.06,0.03,"Yes","Bachelor or equivalent","Female","Yes","Single",104,3,6,23,"Non-technology Related Job",17,223,40,"No","No",0.08,3195,798,"1"
46,164554,0.02,0.01,"Yes","High School or below","Female","No","Married",38,1,1,67,"Others",89,369,17,"No","No",0.85,3426,856,"0"
62,16348,0.01,0.01,"Yes","High School or below","Female","Yes","Married",57,3,0,4,"Non-technology Related Job",395,220,242,"No","No",0.11,2098,699,"1"
70,226947,0.07,0.01,"Yes","High School or below","Female","Yes","Married",50,1,6,42,"Others",222,397,216,"No","No",0.59,3959,989,"0"
14,174954,0.02,0.03,"Yes","Master or equivalent","Female","Yes","Married",27,3,6,32,"Technology Related Job",171,291,77,"Yes","Yes",0.12,1134,1134,"0"
78,23460,0.02,0,"Yes","Bachelor or equivalent","Male","Yes","Married",21,0,4,89,"Non-technology Related Job",173,129,214,"No","No",0.3,277,277,"1"
70,37715,0.05,0.02,"Yes","High School or below","Male","Yes","Single",76,3,5,38,"Non-technology Related Job",384,165,65,"No","No",0.88,4690,670,"1"
18,203162,0.05,0,"Yes","High School or below","Male","Yes","Single",109,2,4,70,"Non-technology Related Job",403,62,184,"Yes","No",0.56,5273,753,"0"
37,29170,0.03,0,"Yes","Bachelor or equivalent","Female","Yes","Single",67,2,4,95,"Non-technology Related Job",96,364,80,"No","Yes",0.82,3490,698,"1"
18,38201,0.04,0.01,"Yes","High School or below","Male","Yes","Married",92,3,3,72,"Others",305,440,179,"No","No",0.89,5115,511,"1"
17,92607,0.05,0.02,"Yes","Bachelor or equivalent","Male","Yes","Married",58,1,2,32,"Non-technology Related Job",398,103,209,"No","No",0.44,3510,585,"0"
36,172002,0.01,0,"No","High School or below","Female","Yes","Married",17,1,3,80,"Others",499,129,60,"No","Yes",0.12,7052,881,"1"
34,65936,0.06,0.03,"Yes","High School or below","Male","Yes","Married",10,3,5,61,"Others",28,489,132,"No","No",0.28,3603,514,"1"
33,79656,0.04,0,"Yes","High School or below","Male","No","Married",64,0,5,19,"Non-technology Related Job",439,30,96,"No","No",0.2,3503,500,"0"
39,34041,0.07,0.02,"Yes","PhD or equivalent","Female","Yes","Married",51,2,0,17,"Technology Related Job",157,416,54,"No","No",0.61,6399,711,"1"
23,32234,0.03,0.02,"Yes","Bachelor or equivalent","Male","Yes","Single",24,0,1,75,"Others",284,292,174,"No","No",0.12,3506,701,"0"
27,62954,0.05,0,"Yes","Bachelor or equivalent","Female","Yes","Single",112,0,0,28,"Technology Related Job",203,109,208,"No","No",0.08,5100,850,"0"
61,168709,0.05,0.03,"Yes","High School or below","Female","Yes","Married",100,3,4,35,"Others",448,61,73,"No","Yes",0.95,4185,597,"1"
23,137766,0.02,0.01,"Yes","Bachelor or equivalent","Female","Yes","Married",64,0,2,81,"Non-technology Related Job",413,159,44,"No","No",0.21,4261,608,"0"
65,218731,0.04,0.03,"Yes","Bachelor or equivalent","Female","Yes","Single",11,3,2,85,"Technology Related Job",360,170,72,"No","No",0.63,3738,934,"1"
37,151080,0.02,0.02,"Yes","PhD or equivalent","Female","Yes","Single",101,1,1,70,"Others",283,133,145,"No","No",0.02,2339,584,"0"
45,14915,0.01,0.02,"No","High School or below","Female","Yes","Married",12,3,3,46,"Non-technology Related Job",385,329,228,"No","Yes",0.24,1428,1428,"1"
52,37532,0.06,0.01,"Yes","PhD or equivalent","Male","Yes","Single",8,1,0,70,"Technology Related Job",458,184,197,"No","No",0.54,4160,594,"0"
26,1871,0.01,0,"Yes","Master or equivalent","Male","No","Single",87,3,0,32,"Technology Related Job",27,321,227,"No","No",0.65,946,236,"1"
76,143140,0.06,0.01,"Yes","Bachelor or equivalent","Male","No","Single",94,3,4,58,"Others",203,43,88,"No","No",0.65,2748,392,"0"
61,59046,0.03,0.02,"Yes","PhD or equivalent","Female","Yes","Single",81,2,1,99,"Others",407,443,74,"No","No",0.97,1823,364,"0"
29,249910,0.04,0.01,"Yes","High School or below","Female","Yes","Married",86,2,3,25,"Non-technology Related Job",423,212,55,"No","No",0.12,5124,640,"0"
58,202088,0.02,0,"Yes","High School or below","Female","Yes","Single",41,3,5,78,"Others",473,462,170,"No","No",0.99,6066,1011,"1"
54,9218,0.05,0,"Yes","High School or below","Female","Yes","Married",24,2,1,47,"Non-technology Related Job",416,425,242,"No","No",0.78,2035,1017,"0"
45,187933,0.07,0.01,"Yes","Bachelor or equivalent","Female","Yes","Married",82,3,4,71,"Others",366,138,186,"No","No",0.75,3305,826,"0"
73,32796,0.01,0.01,"Yes","High School or below","Male","Yes","Married",53,3,7,13,"Others",361,338,227,"No","No",0.26,283,283,"0"
29,154038,0.03,0.01,"Yes","Bachelor or equivalent","Male","Yes","Married",36,3,6,65,"Others",160,72,141,"No","No",0,2877,719,"0"
14,118019,0.01,0.01,"Yes","Bachelor or equivalent","Female","Yes","Single",18,0,0,61,"Non-technology Related Job",149,419,172,"No","No",0.82,370,185,"1"
27,121639,0.01,0,"Yes","High School or below","Female","Yes","Married",112,3,6,14,"Others",167,338,170,"No","Yes",0.18,1796,449,"1"
41,117401,0.07,0.01,"Yes","High School or below","Female","Yes","Married",78,3,6,22,"Non-technology Related Job",486,376,114,"No","No",0.07,2688,672,"0"
14,92818,0.07,0,"Yes","Master or equivalent","Male","Yes","Single",68,2,7,25,"Non-technology Related Job",61,357,74,"No","No",0.17,3482,580,"1"
68,167929,0.04,0.03,"Yes","High School or below","Male","No","Single",15,3,0,60,"Others",2,484,174,"No","No",0.11,4027,575,"1"
50,39509,0.03,0.03,"Yes","High School or below","Female","Yes","Single",46,3,4,72,"Others",304,457,67,"No","No",0.31,1287,643,"1"
77,108911,0,0.02,"Yes","High School or below","Male","Yes","Married",66,2,5,1,"Others",324,350,51,"No","No",0.73,5745,718,"0"
44,127595,0,0.02,"Yes","High School or below","Female","Yes","Single",35,3,6,81,"Others",194,377,127,"No","No",0.8,4443,555,"0"
75,68582,0,0,"Yes","High School or below","Female","Yes","Single",99,3,0,87,"Non-technology Related Job",263,297,154,"No","No",0.5,1318,329,"0"
57,184389,0.07,0,"Yes","Bachelor or equivalent","Male","Yes","Married",35,2,1,0,"Non-technology Related Job",463,211,208,"No","No",0.41,2808,468,"1"
20,114227,0,0.03,"No","PhD or equivalent","Female","No","Single",33,1,3,47,"Others",158,350,184,"No","No",0.18,616,616,"0"
37,50109,0.03,0.02,"Yes","Bachelor or equivalent","Male","No","Single",20,3,4,0,"Non-technology Related Job",54,24,193,"No","No",0.15,5239,873,"0"
59,12427,0.01,0,"Yes","High School or below","Female","Yes","Married",89,3,3,67,"Others",145,223,228,"No","No",0.94,4271,610,"0"
38,84931,0.01,0.01,"Yes","PhD or equivalent","Male","Yes","Married",119,3,0,54,"Technology Related Job",125,203,22,"No","No",0.31,880,880,"0"
48,186401,0,0.03,"Yes","High School or below","Female","Yes","Married",61,3,7,70,"Others",252,35,54,"No","No",0.55,2879,959,"0"
68,18307,0.04,0.02,"Yes","High School or below","Female","Yes","Married",25,1,1,34,"Technology Related Job",40,107,83,"No","Yes",0.74,1366,455,"0"
19,103975,0.01,0,"Yes","High School or below","Female","No","Single",93,2,4,4,"Technology Related Job",100,137,185,"No","No",0.97,3802,760,"1"
50,186620,0.04,0.02,"Yes","High School or below","Female","No","Single",29,0,2,83,"Technology Related Job",79,288,230,"No","No",0.16,2168,722,"0"
75,157436,0.03,0,"Yes","High School or below","Female","No","Married",62,2,1,18,"Technology Related Job",63,406,146,"No","No",0.58,6223,622,"0"
29,231037,0.06,0,"Yes","Bachelor or equivalent","Male","Yes","Single",3,3,5,34,"Non-technology Related Job",420,427,131,"Yes","No",0.73,4045,1011,"0"
48,116176,0.07,0,"Yes","Bachelor or equivalent","Female","No","Single",96,1,2,46,"Technology Related Job",308,129,227,"No","No",0.66,1980,990,"1"
14,132630,0.05,0.03,"Yes","High School or below","Male","No","Single",105,2,6,21,"Technology Related Job",22,301,111,"No","No",0.89,3718,743,"0"
19,157224,0.07,0.01,"Yes","High School or below","Male","Yes","Married",19,2,7,47,"Non-technology Related Job",442,430,200,"No","No",0.95,2616,654,"1"
53,105519,0.05,0.02,"Yes","Master or equivalent","Female","No","Married",53,3,7,13,"Technology Related Job",168,71,196,"No","No",0.23,5302,883,"0"
18,80953,0,0.02,"Yes","High School or below","Female","Yes","Single",113,1,4,89,"Others",444,438,185,"No","No",0.46,6890,765,"0"
18,248372,0.06,0.02,"Yes","High School or below","Male","Yes","Single",19,2,5,81,"Technology Related Job",102,332,193,"No","No",0.94,3711,463,"0"
31,195129,0,0.02,"Yes","Master or equivalent","Male","Yes","Married",18,2,4,81,"Non-technology Related Job",466,316,159,"No","No",0.94,7215,721,"0"
38,80724,0.01,0.02,"Yes","Bachelor or equivalent","Male","Yes","Married",0,2,7,46,"Non-technology Related Job",122,75,211,"No","No",0.7,4481,896,"1"
68,210927,0.04,0,"Yes","High School or below","Male","Yes","Single",0,0,3,61,"Non-technology Related Job",287,64,190,"No","No",0.87,1711,342,"0"
45,248684,0.03,0.03,"Yes","Bachelor or equivalent","Female","Yes","Married",72,1,3,72,"Non-technology Related Job",287,242,87,"No","No",0.8,987,987,"0"
70,219929,0.01,0.01,"Yes","Master or equivalent","Male","Yes","Married",84,1,2,13,"Others",260,367,43,"No","No",0.56,2834,708,"0"
37,199230,0.02,0.02,"Yes","Master or equivalent","Female","Yes","Single",116,3,4,3,"Non-technology Related Job",159,456,122,"No","No",0.24,4656,665,"0"
38,18782,0.01,0,"Yes","PhD or equivalent","Male","Yes","Married",16,2,6,38,"Non-technology Related Job",467,274,149,"No","No",0.6,6839,854,"0"
60,121416,0.01,0,"Yes","PhD or equivalent","Male","Yes","Married",44,0,2,14,"Others",51,252,176,"No","No",0.4,3767,627,"0"
22,111375,0.05,0,"Yes","Bachelor or equivalent","Female","Yes","Single",0,3,0,37,"Technology Related Job",91,399,35,"No","No",0.51,1272,636,"0"
47,92279,0.01,0,"Yes","High School or below","Male","Yes","Married",2,0,2,24,"Technology Related Job",431,252,197,"No","No",0.24,4553,758,"0"
33,108933,0.06,0,"Yes","Bachelor or equivalent","Female","Yes","Single",115,0,1,61,"Non-technology Related Job",313,68,149,"No","No",0.04,1247,623,"0"
14,86099,0.07,0.03,"Yes","High School or below","Male","No","Married",64,0,5,1,"Others",371,182,85,"No","No",0.04,6430,918,"1"
62,175873,0.04,0,"Yes","Bachelor or equivalent","Male","Yes","Married",1,3,6,60,"Non-technology Related Job",370,406,50,"No","No",0.65,4379,729,"1"
61,46500,0,0.01,"Yes","High School or below","Male","Yes","Married",104,2,4,54,"Non-technology Related Job",489,437,74,"No","No",0.85,3794,758,"0"
66,125072,0.04,0,"Yes","High School or below","Male","Yes","Married",5,3,3,35,"Technology Related Job",12,221,151,"No","No",0.13,6066,758,"1"
37,56529,0.05,0.02,"Yes","Bachelor or equivalent","Female","Yes","Single",63,0,3,18,"Others",472,342,247,"No","No",0.37,7019,779,"1"
59,104092,0.02,0.01,"Yes","High School or below","Male","Yes","Single",19,1,7,20,"Others",405,234,82,"No","Yes",0.45,162,162,"0"
21,148974,0,0.02,"Yes","High School or below","Male","Yes","Single",112,1,1,22,"Technology Related Job",137,153,80,"No","No",0.62,7263,1037,"1"
78,222499,0.05,0.02,"Yes","Bachelor or equivalent","Female","Yes","Married",39,3,5,34,"Technology Related Job",338,404,125,"No","No",0.65,5306,1061,"0"
31,236207,0.07,0.03,"Yes","Bachelor or equivalent","Female","Yes","Married",69,1,3,62,"Non-technology Related Job",254,335,40,"No","No",0.42,989,989,"1"
29,212593,0.06,0,"Yes","Bachelor or equivalent","Male","Yes","Single",19,2,6,50,"Others",407,150,247,"No","No",0.68,4701,671,"1"
17,150417,0.03,0.02,"Yes","High School or below","Male","Yes","Single",62,0,0,11,"Technology Related Job",142,154,142,"No","No",0.64,5572,1114,"0"
25,152019,0.03,0.01,"Yes","Master or equivalent","Female","Yes","Married",86,0,6,52,"Others",166,472,65,"No","No",0.89,11,11,"0"
38,224002,0.05,0.03,"Yes","High School or below","Male","Yes","Single",86,0,5,33,"Others",257,11,180,"No","No",0.56,1138,569,"1"
66,125072,0.04,0,"Yes","High School or below","Male","Yes","Married",5,3,3,35,"Technology Related Job",12,221,151,"No","No",0.13,3493,1164,"1"
69,248706,0.02,0,"Yes","High School or below","Female","Yes","Single",1,3,7,32,"Technology Related Job",276,460,185,"No","Yes",0.12,2957,739,"1"
37,125172,0.05,0.01,"Yes","Bachelor or equivalent","Male","Yes","Single",14,1,7,55,"Others",76,155,100,"No","No",0.36,2851,950,"0"
20,134590,0,0,"Yes","High School or below","Male","Yes","Single",73,0,7,50,"Technology Related Job",167,188,203,"No","No",0.52,5408,772,"1"
34,66382,0.05,0.03,"Yes","High School or below","Female","Yes","Married",26,1,5,62,"Others",260,160,121,"No","No",0.84,2430,810,"0"
46,166174,0.04,0.02,"Yes","Master or equivalent","Female","Yes","Single",12,1,3,81,"Technology Related Job",313,74,218,"No","No",0.22,1451,290,"0"
27,183972,0.06,0.02,"Yes","High School or below","Female","Yes","Married",114,2,7,1,"Non-technology Related Job",427,36,47,"No","No",0.14,2317,463,"0"
63,137437,0.05,0.02,"Yes","Master or equivalent","Female","Yes","Single",94,1,5,95,"Technology Related Job",487,85,202,"Yes","No",0.11,5806,725,"0"
70,248033,0,0,"Yes","Bachelor or equivalent","Male","Yes","Single",58,3,3,43,"Non-technology Related Job",140,372,134,"No","No",0.58,3340,835,"0"
30,159061,0.03,0.03,"Yes","Bachelor or equivalent","Female","Yes","Single",48,0,0,97,"Technology Related Job",35,165,246,"No","No",0.03,7438,743,"0"
55,116962,0.07,0.01,"No","Master or equivalent","Female","Yes","Single",107,1,0,63,"Others",461,482,105,"No","No",0.48,5067,723,"0"
44,23683,0.02,0,"Yes","Master or equivalent","Male","Yes","Married",89,3,0,89,"Non-technology Related Job",289,214,208,"Yes","No",0.08,2618,436,"0"
26,125401,0.02,0.03,"Yes","Master or equivalent","Male","Yes","Single",95,2,0,21,"Non-technology Related Job",439,295,243,"No","No",0.23,1216,608,"1"
54,82085,0.06,0.02,"Yes","Master or equivalent","Male","Yes","Single",11,2,5,87,"Others",264,29,103,"No","No",0.62,3718,743,"0"
66,130524,0.03,0.03,"Yes","High School or below","Female","Yes","Single",116,2,5,73,"Non-technology Related Job",377,321,47,"No","Yes",0.49,5648,806,"0"
25,9318,0.06,0.02,"Yes","Bachelor or equivalent","Male","Yes","Married",33,1,5,67,"Technology Related Job",479,358,190,"No","No",0.02,4095,682,"1"
69,117713,0.04,0.01,"Yes","Bachelor or equivalent","Male","Yes","Married",11,2,4,13,"Others",170,286,8,"No","No",0.94,1429,714,"0"
36,27087,0.02,0.03,"Yes","Bachelor or equivalent","Female","No","Single",41,3,4,85,"Non-technology Related Job",398,325,192,"Yes","No",0.64,1912,637,"0"
27,187506,0.04,0,"Yes","High School or below","Female","Yes","Married",50,3,4,20,"Technology Related Job",295,75,57,"No","No",0.22,2936,489,"0"
27,172693,0.05,0.02,"Yes","High School or below","Male","Yes","Married",31,1,2,42,"Non-technology Related Job",336,104,140,"No","No",0.78,581,581,"0"
36,112555,0,0.01,"Yes","Master or equivalent","Female","No","Married",3,2,4,93,"Others",290,210,228,"No","No",0.3,3273,818,"0"
39,25572,0.04,0,"No","Bachelor or equivalent","Female","Yes","Single",56,0,6,79,"Others",25,386,9,"No","No",0.67,4441,740,"0"
12,12845,0.05,0,"Yes","High School or below","Male","Yes","Single",43,2,1,43,"Non-technology Related Job",140,121,220,"No","No",0.12,3302,825,"0"
14,86099,0.07,0.03,"Yes","High School or below","Male","No","Married",64,0,5,1,"Others",371,182,85,"No","No",0.04,3869,644,"1"
69,186373,0.04,0.03,"Yes","High School or below","Male","No","Single",119,0,6,45,"Non-technology Related Job",16,262,58,"No","No",0.16,3202,400,"0"
12,56734,0.02,0.01,"Yes","High School or below","Female","Yes","Married",61,3,4,46,"Technology Related Job",387,42,213,"No","No",0.02,1237,1237,"0"
45,217640,0.07,0.02,"Yes","High School or below","Female","Yes","Married",113,0,0,20,"Non-technology Related Job",229,183,29,"No","No",0.92,476,476,"0"
56,17774,0.03,0.01,"Yes","Bachelor or equivalent","Male","No","Single",91,1,0,98,"Non-technology Related Job",158,57,107,"No","No",0.89,2013,503,"0"
41,223661,0.03,0,"Yes","High School or below","Male","Yes","Single",58,3,2,39,"Technology Related Job",377,106,209,"No","No",0.41,48,48,"0"
63,21817,0,0.03,"Yes","PhD or equivalent","Female","Yes","Single",85,3,1,37,"Others",1,484,85,"No","No",0.71,5901,737,"1"
15,39417,0.04,0,"Yes","High School or below","Male","Yes","Single",115,0,6,72,"Non-technology Related Job",406,23,179,"No","No",0.95,3386,846,"0"
14,46716,0,0.01,"Yes","High School or below","Male","Yes","Married",7,1,7,12,"Others",399,245,88,"No","No",0.66,7065,706,"0"
64,206114,0.06,0.03,"Yes","Master or equivalent","Male","Yes","Married",119,3,7,22,"Others",74,225,200,"No","No",0.57,1552,517,"0"
40,209424,0.03,0.03,"Yes","Bachelor or equivalent","Female","Yes","Single",73,3,4,63,"Others",367,456,136,"No","No",0.97,1263,1263,"0"
55,25221,0,0.03,"Yes","Bachelor or equivalent","Female","Yes","Married",37,3,5,33,"Others",110,94,70,"No","No",0.26,5360,765,"0"
36,158657,0.07,0,"Yes","Bachelor or equivalent","Male","No","Married",64,2,4,6,"Non-technology Related Job",452,321,214,"No","No",0.81,3491,872,"1"
65,237604,0.02,0,"Yes","High School or below","Female","Yes","Single",94,2,1,75,"Others",363,454,247,"No","No",0.02,6662,740,"1"
28,191637,0.06,0.02,"Yes","High School or below","Female","Yes","Married",29,0,7,50,"Others",206,326,185,"No","No",0.11,1141,1141,"0"
44,16219,0.05,0.03,"Yes","Bachelor or equivalent","Male","Yes","Married",106,1,3,59,"Non-technology Related Job",95,13,47,"No","No",0.48,4150,830,"0"
38,139426,0.05,0.01,"Yes","Bachelor or equivalent","Male","Yes","Single",36,2,3,27,"Technology Related Job",328,468,121,"No","No",0.04,2976,992,"1"
59,125477,0.01,0.03,"Yes","High School or below","Male","Yes","Single",108,1,7,26,"Others",95,65,183,"No","No",0.35,2141,1070,"0"
52,218871,0.05,0.03,"Yes","Bachelor or equivalent","Male","No","Single",20,3,6,38,"Technology Related Job",113,208,146,"No","No",0.32,2858,571,"0"
64,160904,0.05,0,"Yes","Bachelor or equivalent","Male","Yes","Married",89,3,5,11,"Non-technology Related Job",375,455,191,"No","No",0.2,5695,1139,"1"
18,173439,0.04,0,"Yes","High School or below","Female","Yes","Married",42,0,0,26,"Non-technology Related Job",298,353,143,"No","No",0.16,3556,592,"0"
23,232464,0.01,0.01,"Yes","High School or below","Female","Yes","Married",36,1,5,28,"Others",183,264,245,"No","No",0.52,4351,870,"0"
16,219953,0.01,0,"Yes","Bachelor or equivalent","Male","Yes","Married",46,2,2,50,"Technology Related Job",208,307,221,"No","No",0.77,86,86,"0"
20,60978,0.02,0.03,"Yes","High School or below","Female","Yes","Married",107,1,1,4,"Non-technology Related Job",316,58,169,"No","Yes",0.21,2940,588,"1"
24,175546,0,0.02,"Yes","High School or below","Male","Yes","Married",64,3,6,51,"Technology Related Job",403,55,38,"No","No",0.45,2123,353,"0"
61,7117,0.01,0.03,"Yes","High School or below","Female","No","Married",47,0,6,64,"Non-technology Related Job",17,499,76,"No","No",0.47,5350,535,"0"
46,127683,0.03,0,"Yes","Bachelor or equivalent","Female","Yes","Married",107,3,3,94,"Technology Related Job",304,479,197,"No","No",0.98,925,925,"1"
67,68154,0.04,0.01,"Yes","High School or below","Male","Yes","Married",33,0,4,59,"Non-technology Related Job",232,12,194,"No","Yes",0.06,5654,706,"0"
46,212705,0.02,0.02,"Yes","PhD or equivalent","Female","Yes","Married",53,3,4,0,"Others",465,193,244,"No","No",0.07,1214,1214,"0"
19,64592,0.02,0.02,"Yes","High School or below","Male","Yes","Single",36,3,6,15,"Non-technology Related Job",128,200,188,"No","Yes",0.59,254,254,"0"
46,125617,0.02,0.03,"Yes","High School or below","Female","Yes","Single",117,1,2,79,"Technology Related Job",348,103,7,"No","No",0.03,2546,509,"0"
36,209172,0.06,0.01,"Yes","Bachelor or equivalent","Female","Yes","Single",30,1,3,59,"Others",56,376,64,"No","No",0.89,4755,792,"0"
58,201213,0.05,0.03,"Yes","Master or equivalent","Female","Yes","Single",46,3,5,70,"Others",252,284,141,"No","No",0.09,3900,975,"0"
16,189653,0.01,0,"Yes","Master or equivalent","Male","Yes","Single",65,2,2,5,"Non-technology Related Job",154,276,86,"No","No",0.36,3326,665,"1"
38,178792,0.04,0,"Yes","High School or below","Male","Yes","Single",57,0,3,21,"Technology Related Job",58,241,170,"No","No",0.19,3476,869,"0"
23,57397,0.03,0.03,"Yes","Bachelor or equivalent","Male","Yes","Married",13,3,2,83,"Non-technology Related Job",487,243,46,"No","No",0.3,4317,1079,"1"
76,112243,0.03,0.01,"Yes","High School or below","Male","Yes","Married",70,3,6,2,"Non-technology Related Job",105,300,84,"No","No",0.44,4242,707,"0"
32,20062,0.02,0.01,"Yes","High School or below","Male","Yes","Single",115,0,1,35,"Others",270,296,209,"No","No",0.73,681,227,"0"
26,59105,0,0.02,"Yes","Bachelor or equivalent","Female","Yes","Married",58,0,1,9,"Technology Related Job",321,50,66,"No","No",0.86,2405,801,"1"
36,53125,0.07,0.01,"Yes","Bachelor or equivalent","Female","Yes","Single",25,2,4,0,"Others",322,454,93,"No","No",0.72,4178,696,"0"
53,73300,0.05,0,"Yes","Bachelor or equivalent","Male","Yes","Married",16,1,2,48,"Others",118,479,175,"No","No",0.54,2799,699,"0"
