,zu_zahlender_zins,darlehenssumme,kreditsumme,einkommen_monat,haus,oeffentliche_mahnverfahren_10_Jahre,kreditanfrage_6_monate,offene_forderungen,anzahl_kredite,ratio_schulden_zu_einkommen,monatliches_payment,investoren,investment_freunde,ausfall
31,0.3,2750,36,1583.333333,True,1,2,0,11,0.28,116.74,45,0.0,1
32,0.1299,7500,36,5416.666667,True,0,1,0,13,0.48,252.67,98,0.0,0
33,0.205,3000,36,3161.083333,False,2,2,4,0,0.03,0.0,113,0.0,0
34,0.16,1000,36,6500.0,True,1,3,6,5,0.14,35.16,42,0.0,0
35,0.21,7500,36,4166.666667,False,0,1,0,8,0.37,282.56,158,0.0,0
36,0.1032,1200,36,7083.333333,True,0,3,0,11,0.22,0.0,22,0.0,0
37,0.1551,2000,60,2666.666667,True,0,0,0,5,0.15,48.12,42,0.0,0
38,0.2495,5000,36,4375.0,False,0,1,0,8,0.27,198.67,269,0.0,0
39,0.0649,2000,12,8833.333333,False,0,0,0,4,0.03,172.58,32,0.0,0
40,0.183,5000,36,5000.0,False,0,4,0,2,0.21,181.52,190,0.0,1
41,0.107,2500,36,3333.333333,False,0,0,0,2,0.03,81.49,100,700.0,0
42,0.0735,2000,36,4166.666667,True,0,3,0,13,0.11,62.07,69,0.0,0
43,0.1555,2100,36,3208.333333,True,0,2,2,4,0.09,73.36,22,0.0,0
44,0.1449,10000,36,6250.0,False,0,0,0,5,0.13,344.16,22,0.0,0
45,0.35,5000,36,1750.0,False,0,0,1,2,0.22,226.18,30,0.0,0
46,0.2561,2000,36,6500.0,True,0,3,0,13,0.18,80.17,19,0.0,1
47,0.1414,4800,36,2666.666667,False,0,0,0,8,0.34,164.38,37,0.0,1
48,0.2171,1000,36,4833.333333,True,0,4,0,11,0.48,0.0,4,0.0,1
49,0.2218,13000,60,5416.666667,True,0,2,1,11,0.12,360.38,27,0.0,0
50,0.3199,7000,36,2833.333333,True,0,1,1,15,0.35,304.84,129,0.0,1
51,0.35,2500,36,2250.0,False,0,0,0,11,0.29,113.09,49,0.0,0
52,0.2099,15000,36,15000.0,True,0,1,0,10,0.14,565.05,35,0.0,0
53,0.2049,6000,36,5416.666667,True,1,1,0,14,0.32,224.48,113,0.0,0
54,0.1695,2500,36,2833.333333,False,1,0,0,3,0.27,89.07,81,0.0,0
55,0.2284,11500,60,3583.333333,False,0,0,1,12,0.31,323.13,1,0.0,0
56,0.2599,9000,36,1250.0,False,0,2,0,16,2.19,362.57,55,0.0,1
57,0.25,1500,36,5416.666667,True,0,0,0,4,0.09,59.64,43,0.0,0
58,0.3199,2000,36,2880.0,True,0,1,0,16,0.48,87.1,6,0.0,1
59,0.087,10000,36,5455.5,False,0,1,0,12,0.2,316.6,184,0.0,0
60,0.227,7000,36,3640.0,True,0,0,0,11,0.36,269.87,293,0.0,1
61,0.1515,5000,36,2000.0,False,0,2,2,16,0.54,170.7,107,0.0,0
62,0.1181,10000,36,5000.0,False,0,4,0,10,0.21,331.24,265,4069.12,0
63,0.24,3500,36,3333.333333,True,1,0,0,6,0.15,137.31,47,0.0,0
64,0.08,11000,36,5000.0,False,0,0,0,6,0.24,344.7,13,0.0,0
65,0.185,21200,36,7333.333333,True,0,3,0,12,0.59,771.76,149,0.0,1
66,0.2669,2000,12,4500.0,True,0,0,1,11,0.34,186.23,40,0.0,0
67,0.1745,9500,36,7666.666667,False,0,3,0,15,0.1,340.83,176,0.0,1
68,0.2449,9000,36,4166.666667,True,1,0,17,4,0.22,355.42,181,0.0,0
69,0.11,2700,36,3750.0,True,1,0,3,2,0.07,88.39,48,0.0,0
70,0.1298,15510,36,4004.0,False,0,0,0,5,0.33,522.44,304,0.0,0
71,0.0827,2000,36,3852.0,True,0,5,0,7,0.41,62.92,59,0.0,0
72,0.0929,2000,12,1833.333333,False,0,0,0,4,0.17,175.17,23,0.0,0
73,0.1899,5000,36,3750.0,True,0,2,0,12,0.31,183.25,6,0.0,0
74,0.2199,3200,36,3750.0,False,0,4,0,4,0.14,122.19,65,0.0,1
75,0.35,1000,36,2500.0,False,1,2,2,12,0.53,45.24,14,0.0,1
76,0.2725,7500,36,12466.666667,True,0,4,0,17,0.27,307.2,265,0.0,0
77,0.3304,4000,60,4723.333333,True,1,2,0,11,0.31,136.98,30,0.0,0
78,0.2399,10000,36,3782.666667,True,0,0,0,6,0.29,392.28,141,0.0,0
79,0.325,1300,36,4416.666667,True,0,9,0,9,0.5,56.98,48,0.0,1
80,0.0649,25000,36,15000.0,True,0,1,0,4,0.06,766.11,605,0.0,0
81,0.15,15000,36,16666.666667,True,0,0,0,19,0.19,518.46,273,0.0,0
82,0.092,5000,36,7500.0,True,0,0,0,16,0.28,159.46,128,0.0,0
83,0.152,7000,36,9022.333333,True,0,2,0,11,0.07,243.34,141,0.0,1
84,0.255,7500,36,1809.083333,False,1,2,8,6,0.29,300.19,54,0.0,1
85,0.199,2000,36,3583.333333,False,0,1,0,7,0.31,74.23,48,0.0,0
86,0.35,4000,36,4458.333333,True,0,0,1,4,0.16,180.94,116,0.0,0
89,0.3177,4000,36,10041.666667,True,0,0,0,21,0.33,173.71,44,0.0,0
90,0.2699,4000,36,5666.666667,True,0,1,0,10,0.18,163.28,41,0.0,0
91,0.09,15000,36,9083.333333,True,0,0,0,9,0.12,477.0,479,0.0,0
92,0.21,15000,36,3833.333333,True,0,6,1,2,0.15,565.13,143,0.0,1
93,0.111,10000,36,6666.666667,False,0,0,0,8,0.27,327.86,166,0.0,0
94,0.16,7500,36,6307.583333,True,1,5,6,6,0.08,263.68,198,0.0,0
95,0.3199,4000,36,1750.0,True,0,0,0,5,0.2,174.2,101,0.0,0
96,0.295,1200,36,3120.833333,False,1,1,0,11,0.36,50.61,23,0.0,0
97,0.292,3500,36,4750.0,True,0,1,0,7,0.19,147.05,52,0.0,0
98,0.1111,15000,36,5598.416667,True,0,2,0,4,0.13,491.86,353,0.0,0
99,0.071,2000,36,6500.0,True,0,0,0,12,0.18,61.85,66,0.0,0
100,0.2199,9000,36,3500.0,True,0,1,0,7,0.36,343.67,91,0.0,0
103,0.0864,21000,36,10833.333333,True,0,0,0,11,0.17,664.28,412,0.0,0
104,0.2599,3500,36,4160.0,False,0,1,1,4,0.16,141.0,28,0.0,1
105,0.1399,25000,36,6500.0,True,0,3,0,12,0.19,854.32,365,0.0,0
106,0.3177,3000,36,2950.0,True,1,1,0,7,0.18,130.28,23,0.0,0
108,0.29,3000,36,3333.333333,True,2,0,0,3,0.16,125.72,43,0.0,0
109,0.155,5000,36,4000.0,False,3,1,0,13,0.37,174.55,93,0.0,1
110,0.275,2500,36,3625.0,False,0,0,1,2,0.05,102.73,66,0.0,0
111,0.1875,7500,36,3333.333333,False,0,0,0,4,0.2,263.58,161,0.0,0
112,0.1269,17000,36,2044.166667,False,0,2,0,11,0.52,570.26,318,0.0,0
113,0.1995,10000,36,8333.333333,True,0,11,0,15,0.17,371.38,247,0.0,1
114,0.09,1000,36,7083.333333,False,0,1,0,19,0.15,31.8,15,0.0,0
115,0.0991,1000,36,1833.333333,False,0,1,0,2,0.24,32.22,40,0.0,0
116,0.111,11900,36,10000.0,True,0,0,0,8,0.3,388.47,397,0.0,0
118,0.26,2500,36,3750.0,True,1,0,2,7,0.23,100.73,113,0.0,0
119,0.18,12500,36,4353.166667,True,0,0,0,15,0.49,451.9,294,0.0,1
120,0.17,10000,36,2233.166667,True,0,0,0,9,0.88,347.95,145,0.0,1
122,0.1279,12500,12,6250.0,False,0,0,0,7,0.33,1115.23,211,0.0,0
123,0.3199,4000,36,3568.333333,True,0,2,1,14,0.44,174.2,2,0.0,0
124,0.2254,3000,12,2583.333333,False,0,0,0,9,0.41,0.0,8,0.0,0
125,0.3177,3000,36,6666.666667,False,0,5,2,0,0.02,130.28,43,0.0,1
126,0.07,9875,36,10166.666667,True,0,1,0,10,0.16,304.91,322,0.0,0
127,0.2452,4000,36,2560.0,False,0,0,0,2,0.08,158.03,28,0.0,0
128,0.2669,2000,12,1333.333333,False,0,0,0,7,0.57,191.73,32,0.0,0
129,0.3099,7500,36,5020.833333,True,0,3,0,24,0.5,322.47,98,0.0,0
131,0.094,5000,36,9250.0,True,0,1,0,5,0.04,159.93,190,33.9,0
132,0.2343,4000,12,6666.666667,False,2,2,0,6,0.17,377.14,84,0.0,0
133,0.17,1800,36,2041.166667,False,1,3,1,3,0.34,64.17,51,0.0,1
134,0.1369,3001,36,913.0,False,0,0,1,2,0.15,102.12,143,0.0,0
135,0.25,2800,36,3416.666667,False,1,1,0,0,0.03,0.0,131,0.0,0
136,0.1375,15000,36,5666.666667,False,0,2,1,8,0.26,510.84,282,0.0,1
137,0.194,7000,36,4166.666667,False,1,7,0,20,0.67,258.01,165,0.0,1
138,0.2495,1500,36,2500.0,False,1,2,0,10,0.31,0.0,41,0.0,1
139,0.18,3500,36,583.333333,False,0,1,2,1,0.47,126.53,90,0.0,0
140,0.18,4000,36,1291.666667,True,0,0,0,2,0.11,144.61,79,0.0,0
141,0.1799,2000,36,4000.0,True,0,0,0,8,0.16,72.29,36,0.0,0
142,0.1239,6000,36,1916.666667,False,0,0,0,6,0.28,200.41,145,0.0,0
143,0.0666,10000,36,9166.666667,True,0,3,0,8,0.09,307.22,175,0.0,0
144,0.36,2000,36,3916.666667,False,0,1,0,11,0.33,91.61,9,0.0,1
145,0.2293,8000,60,2583.333333,False,0,2,0,9,0.44,225.2,106,0.0,1
146,0.24,5000,36,6250.0,True,1,7,0,12,0.45,196.16,49,0.0,1
147,0.1115,10000,36,3500.0,False,0,0,0,5,0.13,328.1,282,0.0,0
149,0.2,2000,36,2476.416667,False,2,0,3,6,0.13,33.93,61,0.0,0
150,0.1124,1600,36,3291.666667,False,0,2,0,7,0.05,52.56,73,0.0,0
151,0.2625,2500,36,2800.0,False,0,0,2,7,0.2,101.06,81,0.0,1
152,0.2346,4000,36,4000.0,True,0,1,0,8,0.28,155.8,1,0.0,0
153,0.2452,2500,36,2600.0,False,1,2,0,3,0.18,98.77,12,0.0,1
154,0.18,1000,36,4400.0,False,0,1,2,5,0.06,36.15,19,0.0,0
155,0.2399,3000,36,2750.0,True,0,1,0,21,0.66,117.68,25,0.0,1
156,0.2669,2000,12,4166.666667,False,0,1,0,3,0.06,191.73,13,0.0,0
157,0.1396,7000,60,3000.0,True,0,0,0,12,0.14,162.73,138,0.0,1
159,0.076,2000,36,5382.0,True,0,0,0,12,0.18,62.3,87,0.0,0
160,0.2599,4000,36,1875.0,False,1,2,0,6,0.36,161.14,71,0.0,0
161,0.1549,1893,36,2080.333333,True,1,1,3,5,0.25,48.43,62,0.0,0
162,0.1364,25000,60,10166.666667,False,0,0,1,10,0.14,577.05,28,0.0,0
163,0.1644,1500,36,1250.0,True,0,1,0,11,0.72,53.06,58,0.0,1
164,0.138,25000,36,6566.0,True,0,1,0,6,0.18,852.01,492,0.0,0
165,0.3304,4000,60,5166.666667,True,3,6,0,5,0.05,136.98,48,0.0,1
166,0.3177,4000,36,1666.666667,False,0,1,0,5,0.43,173.71,41,0.0,1
167,0.2127,2000,12,3833.333333,False,1,0,0,5,0.25,186.49,1,0.0,0
168,0.1449,3500,36,7083.333333,False,0,1,0,12,0.11,120.46,55,0.0,0
169,0.3177,3360,36,1666.666667,False,0,3,0,2,0.37,145.9,62,0.0,1
170,0.188,5000,36,5416.666667,True,8,4,2,5,0.13,182.77,166,0.0,0
171,0.2197,15000,36,4000.0,False,0,1,3,2,0.15,572.62,274,0.0,1
172,0.2555,16000,36,5416.666667,True,0,4,0,5,0.2,640.82,564,0.0,1
173,0.14,5000,36,8333.333333,True,0,2,1,17,0.34,170.89,48,0.0,0
174,0.1111,5200,36,6500.0,True,1,3,0,9,0.07,170.51,141,0.0,0
175,0.16,5800,36,2708.333333,False,0,0,0,7,0.22,203.91,63,0.0,0
177,0.2499,15000,36,6919.166667,False,0,0,0,9,0.31,596.32,41,0.0,0
178,0.35,2250,36,4083.333333,False,1,0,5,5,0.08,101.78,13,0.0,1
179,0.34,5000,36,7666.666667,False,0,6,0,8,0.17,223.36,160,0.0,0
180,0.1949,2750,36,2083.333333,True,1,0,7,2,0.05,101.49,67,0.0,0
181,0.2,5000,36,2791.666667,False,0,8,1,1,0.07,185.82,43,0.0,1
182,0.1255,25000,36,6001.416667,True,0,0,0,13,0.34,836.94,440,536.0,1
183,0.287,6000,60,1561.666667,False,0,2,0,9,0.46,189.36,15,0.0,1
184,0.3177,4000,36,5416.666667,True,2,3,0,7,0.19,173.71,30,0.0,0
185,0.198,22000,36,5083.333333,True,0,2,0,13,0.38,815.36,547,0.0,0
186,0.175,1000,36,1863.333333,False,0,2,5,4,0.29,35.9,29,0.0,0
187,0.198,5000,36,8750.0,True,0,0,0,10,0.23,185.31,132,0.0,0
188,0.2599,10000,36,4333.333333,False,0,0,0,6,0.17,402.85,45,0.0,0
189,0.2145,2000,36,3750.0,False,0,0,1,1,0.03,75.81,44,0.0,0
190,0.3435,2000,36,8333.333333,True,1,0,1,12,0.16,89.74,41,0.0,0
191,0.12,5000,36,4000.0,True,0,2,1,18,0.3,166.07,57,0.0,1
192,0.2645,6000,36,2708.333333,False,0,1,0,3,0.26,243.18,261,0.0,0
193,0.27,5000,36,2583.333333,True,0,3,0,17,0.86,204.13,54,0.0,1
194,0.2452,14000,36,3333.333333,True,0,2,0,13,0.43,553.09,54,0.0,0
195,0.075,4000,36,4500.0,True,0,0,0,10,0.08,124.42,82,0.0,0
196,0.29,5000,36,0.083333,False,0,2,0,2,10.01,209.53,51,0.0,1
197,0.1035,1500,36,4670.5,False,0,0,0,6,0.31,48.65,68,0.0,0
198,0.11,4250,36,3333.333333,False,0,0,0,3,0.2,139.14,84,0.0,0
200,0.155,4500,36,1583.333333,False,0,1,0,4,0.51,157.1,87,0.0,1
201,0.3199,3500,36,1666.666667,True,0,1,0,5,0.39,152.42,30,0.0,0
202,0.0974,2000,36,2750.0,True,0,0,0,4,0.23,64.29,18,0.0,0
203,0.35,3500,36,3000.0,True,0,0,1,7,0.2,158.33,44,0.0,0
204,0.1439,11200,36,5416.666667,False,0,1,0,21,0.24,384.91,295,0.0,0
205,0.065,3000,36,3125.0,False,0,2,2,3,0.11,91.95,1,0.0,1
206,0.34,5000,36,10000.0,False,0,3,0,15,0.23,97.18,105,0.0,0
207,0.2699,3000,36,7083.333333,False,1,3,0,7,0.08,122.46,26,0.0,0
208,0.24,16900,36,4500.0,False,0,1,2,4,0.22,663.04,291,0.0,1
209,0.24,4000,36,2133.333333,False,1,11,1,6,0.21,156.93,92,200.0,0
210,0.07,4000,36,3333.333333,False,1,1,27,1,0.04,123.51,1,0.0,0
211,0.0879,2100,36,2333.333333,False,0,2,0,6,0.13,66.57,88,0.0,0
212,0.3099,7500,36,29166.666667,True,0,2,7,7,0.07,322.47,2,0.0,1
213,0.29,5000,36,3333.333333,False,1,1,12,5,0.1,209.53,62,0.0,1
214,0.158,6001,36,0.083333,True,0,6,1,4,10.01,210.39,163,0.0,0
215,0.14,8000,36,3750.0,True,0,0,0,12,0.32,273.42,1,0.0,0
216,0.102,7500,36,5333.333333,False,0,0,0,4,0.16,242.71,213,0.0,0
217,0.3199,3800,36,10000.0,True,0,0,0,13,0.29,165.49,48,0.0,0
218,0.0868,5500,36,5200.0,True,0,1,1,11,0.14,172.31,50,0.0,0
219,0.089,5712,36,3643.916667,False,0,0,0,17,0.35,181.37,134,0.0,0
222,0.2775,5000,36,4000.0,False,1,1,1,15,0.22,206.14,98,0.0,1
223,0.2151,5000,60,3750.0,False,0,0,1,6,0.1,136.71,42,0.0,0
224,0.2449,5000,36,10000.0,False,0,4,0,23,0.16,197.45,16,0.0,0
225,0.2699,10000,60,4972.5,True,1,1,0,6,0.24,305.29,187,0.0,0
226,0.29,25000,36,6000.0,True,0,7,6,3,0.23,1047.64,204,0.0,1
227,0.35,1600,36,1809.583333,False,1,14,0,7,0.28,72.38,17,0.0,0
228,0.1385,6500,36,6574.25,True,1,2,1,13,0.13,221.68,205,0.0,0
229,0.35,10001,36,2500.0,False,0,0,0,3,0.35,452.41,131,0.0,0
230,0.1299,2000,12,3750.0,False,0,0,0,3,0.05,178.63,46,0.0,0
231,0.1025,3500,36,10733.333333,True,0,0,0,9,0.08,113.35,114,0.0,0
232,0.1949,2500,36,5166.666667,False,2,1,8,3,0.08,92.26,55,0.0,0
233,0.103,8000,36,4183.333333,True,0,0,0,17,0.32,259.27,332,0.0,0
235,0.2599,7500,36,3500.0,False,0,0,0,5,0.19,302.14,158,0.0,1
236,0.0655,22000,36,37500.0,True,0,0,0,18,0.06,674.78,548,0.0,0
237,0.1315,4000,36,7104.166667,True,0,2,0,16,0.21,135.06,143,0.0,1
238,0.1949,11415,36,4500.0,False,1,0,0,13,0.36,421.25,159,0.0,0
239,0.115,8000,36,2666.666667,False,0,3,0,9,0.52,263.81,164,0.0,1
240,0.0825,8900,36,7075.0,False,0,0,0,5,0.09,279.92,212,0.0,0
241,0.1845,11000,60,3666.666667,False,0,0,0,4,0.18,282.03,203,0.0,1
242,0.195,18000,60,5958.333333,False,0,1,0,13,0.21,471.9,1,0.0,0
244,0.2199,5000,36,4950.0,True,0,4,1,6,0.18,190.93,35,0.0,0
245,0.139,25000,36,10416.666667,True,0,0,0,9,0.18,853.23,435,0.0,0
246,0.0845,3500,36,1000.0,True,0,0,0,7,0.33,110.41,124,0.0,0
247,0.25,1000,36,2862.25,False,0,1,0,3,0.08,4.52,61,0.0,0
248,0.071,5000,36,7250.0,False,0,0,0,9,0.09,154.61,185,0.0,0
249,0.2958,4000,36,2666.666667,False,0,1,0,0,0.06,168.89,68,0.0,0
250,0.0554,10000,36,10833.333333,True,0,0,0,4,0.03,67.39,210,734.81,0
251,0.2675,9000,36,5000.0,True,0,2,0,24,0.81,366.22,14,0.0,1
253,0.2599,4000,36,2721.083333,False,1,2,0,5,0.14,0.0,86,0.0,0
254,0.1723,15000,36,3916.666667,True,0,1,0,9,0.56,536.51,265,0.0,1
255,0.0799,2000,36,2416.666667,False,1,0,0,2,0.06,62.66,38,0.0,0
256,0.1869,25000,36,5166.666667,True,0,0,0,4,0.18,912.49,324,0.0,0
257,0.2098,5000,36,7166.666667,True,0,2,0,11,0.3,188.32,110,0.0,0
258,0.35,1200,36,1250.0,True,0,1,1,8,0.27,54.28,36,0.0,0
260,0.1295,25000,36,9867.666667,True,0,2,2,13,0.34,841.75,2,25000.0,0
261,0.25,16000,36,11141.0,False,1,0,1,5,0.13,636.16,105,0.0,1
262,0.1768,3000,36,4000.0,False,0,0,0,3,0.09,107.98,14,0.0,0
263,0.17,3500,36,6666.666667,True,0,2,6,6,0.21,122.6,119,0.0,0
264,0.111,23500,36,7175.0,True,0,2,0,7,0.16,770.47,438,0.0,0
266,0.1995,5000,36,4333.333333,True,0,6,0,7,0.09,185.69,122,0.0,0
267,0.1199,7500,36,9163.0,False,0,1,0,13,0.27,249.07,149,0.0,1
268,0.143,7500,36,2000.0,False,0,1,0,2,0.18,257.43,217,0.0,0
269,0.2499,5000,36,8666.666667,True,0,3,0,17,0.34,198.77,6,0.0,0
271,0.1665,1700,36,3333.333333,True,0,2,0,6,0.15,60.31,74,0.0,0
272,0.138,7400,36,4583.333333,True,0,0,0,15,0.44,252.2,159,0.0,0
273,0.13,10000,36,10000.0,True,0,0,0,13,0.28,336.94,326,0.0,0
274,0.2699,5500,36,6583.333333,True,0,0,0,17,0.5,224.51,1,0.0,1
275,0.125,5600,36,3666.666667,False,0,0,0,8,0.25,185.59,216,0.0,0
276,0.104,6000,36,3458.333333,False,0,0,0,5,0.13,73.81,103,0.0,0
277,0.2699,5000,36,2166.666667,False,1,0,0,0,0.09,204.1,111,0.0,1
278,0.1,10000,36,833.333333,False,0,1,0,4,1.07,322.67,219,0.0,0
279,0.3124,5000,36,6250.0,True,0,2,4,9,0.39,215.67,79,0.0,0
280,0.1033,2000,12,4233.333333,False,0,0,0,17,0.23,0.0,35,0.0,0
283,0.3177,4000,36,3333.333333,True,1,6,0,9,0.28,173.71,1,0.0,1
284,0.2425,15000,36,3666.666667,False,1,0,0,0,0.16,590.46,358,0.0,1
285,0.1697,15000,36,2000.0,False,0,4,0,11,0.41,534.57,361,0.0,0
286,0.26,1500,36,5625.0,False,1,4,0,4,0.05,60.44,43,0.0,0
287,0.3199,3000,36,5000.0,False,0,1,0,15,0.3,130.65,37,0.0,0
288,0.2202,6050,36,8916.666667,True,0,3,0,12,0.21,231.11,67,0.0,0
289,0.35,3000,36,8999.0,True,0,4,0,18,0.27,135.71,21,0.0,1
290,0.092,7000,36,6000.0,False,0,1,0,6,0.05,223.25,216,0.0,0
291,0.1045,5000,36,2083.333333,False,1,0,1,2,0.23,162.39,90,0.0,1
293,0.0999,7000,36,10416.666667,True,0,10,0,9,0.07,225.84,22,0.0,0
295,0.2625,3000,36,6800.0,False,0,1,1,8,0.21,121.27,100,0.0,0
296,0.3484,1000,36,4166.666667,False,1,6,0,13,0.16,45.15,17,0.0,1
297,0.15,5000,36,3750.0,True,0,1,0,9,0.29,173.33,199,0.0,0
299,0.1621,2000,36,5416.666667,False,1,2,0,2,0.08,70.52,34,0.0,1
300,0.35,3000,36,1750.0,False,0,3,0,3,0.1,135.71,77,0.0,0
301,0.2624,5500,60,4506.666667,False,0,2,0,10,0.33,165.45,1,0.0,0
302,0.1198,10000,36,3552.333333,False,0,1,0,5,0.13,332.05,386,50.0,0
303,0.2085,10000,60,8750.0,True,1,0,0,5,0.12,269.69,29,0.0,0
304,0.0955,5000,36,3750.0,True,0,0,0,6,0.11,160.28,105,0.0,0
305,0.19,7900,36,9341.666667,True,1,2,0,6,0.11,289.58,249,0.0,0
306,0.177,8200,36,1916.666667,False,0,0,0,6,0.34,295.22,189,0.0,0
307,0.0715,1000,36,5583.333333,True,0,0,0,12,0.11,30.95,52,0.0,0
308,0.1625,6500,36,4083.333333,True,1,8,1,19,0.11,229.32,183,0.0,0
309,0.1,1500,36,1833.333333,False,0,0,0,6,0.31,48.4,83,0.0,0
310,0.33,5975,36,8333.333333,True,0,5,0,8,0.19,263.57,175,0.0,0
311,0.3177,2000,36,2500.0,False,1,2,1,1,0.2,86.85,42,0.0,1
312,0.2552,7000,36,10000.0,True,0,1,0,16,0.35,280.25,122,0.0,0
313,0.2399,5400,36,4333.333333,False,0,2,1,2,0.22,211.83,72,0.0,0
314,0.2124,3000,60,6666.666667,False,1,0,0,15,0.14,81.57,9,0.0,0
315,0.236,21500,36,2833.333333,True,0,0,0,3,0.3,839.0,718,0.0,0
316,0.1899,2500,36,5333.333333,True,0,1,0,16,0.23,91.63,32,0.0,0
317,0.0654,1000,36,5166.666667,True,0,0,0,6,0.02,30.67,54,0.0,0
319,0.2875,7500,36,4166.666667,True,0,2,0,5,0.21,313.27,111,0.0,1
320,0.1995,7500,36,6408.333333,True,0,4,0,18,0.46,278.54,115,125.0,1
321,0.102,10000,36,7166.666667,False,0,0,0,5,0.08,320.52,362,0.0,0
322,0.109,6000,36,2500.0,False,1,6,3,4,0.17,196.15,88,0.0,1
323,0.143,2000,36,1916.666667,False,0,0,0,7,0.3,68.65,20,0.0,0
324,0.1914,3000,60,5500.0,False,1,1,0,8,0.17,78.05,1,0.0,0
325,0.1509,15000,36,3000.0,False,0,0,0,13,0.43,520.64,188,0.0,0
326,0.0835,4000,36,5666.666667,True,0,0,0,9,0.32,108.32,100,0.0,0
327,0.1609,11000,36,7833.333333,True,0,0,0,8,0.17,387.22,15,0.0,0
328,0.0964,12000,36,6520.833333,True,0,1,0,8,0.18,385.18,226,0.0,0
329,0.2019,15000,36,2666.666667,False,1,1,0,10,0.38,558.91,60,0.0,0
330,0.317,2000,36,4916.666667,False,1,2,5,10,0.28,86.78,35,0.0,0
331,0.275,2000,36,7375.0,False,2,3,0,8,0.14,82.19,66,0.0,0
332,0.35,1000,36,2848.166667,False,1,11,0,7,0.15,45.24,1,0.0,1
333,0.2499,7500,36,6250.0,False,0,0,0,6,0.2,298.16,19,0.0,0
334,0.1,5000,36,3333.333333,True,0,4,0,4,0.11,161.34,80,0.0,1
335,0.08,1000,36,3333.333333,True,0,3,0,11,0.36,31.34,50,0.0,0
336,0.1045,2500,36,5000.0,True,0,0,2,8,0.36,81.2,81,0.0,0
338,0.1899,3500,36,5000.0,True,0,2,0,7,0.13,128.28,9,0.0,0
339,0.16,22000,36,3500.0,True,0,3,1,5,0.4,773.45,188,0.0,1
340,0.23,3900,36,2333.333333,False,0,6,1,13,0.37,150.97,122,0.0,1
341,0.1982,10000,60,3000.0,False,0,1,0,1,0.09,263.94,112,0.0,0
342,0.3199,7500,36,8166.666667,True,1,2,3,3,0.08,326.62,52,0.0,1
343,0.2225,10000,36,6083.333333,True,0,0,0,12,0.46,383.2,53,0.0,0
344,0.35,1000,36,4666.666667,False,0,0,0,11,0.22,45.24,4,0.0,0
345,0.25,6000,36,5166.666667,False,0,4,0,10,0.26,238.56,160,0.0,1
346,0.1055,15000,36,18333.333333,True,1,0,0,5,0.03,487.89,179,0.0,0
