,age,annualincome,calldroprate,callfailurerate,monthlybilledamount,complaints,unpaidmonths,timetoexpiration,penaltytoswitch,lastmonthusage,unpaidbalance,outsidecalls,totalcallduration,avgcallduration,churn,customersuspended_Yes,education_High School or below,education_Master or equivalent,education_PhD or equivalent,gender_Male,homeowner_Yes,maritalstatus_Single,occupation_Others,occupation_Technology Related Job,usesinternetservice_Yes,usesvoiceservice_Yes
31,57,145006,0.0,0.02,98,3,2,10,492,274,211,0.03,1168,1168,1,1,0,0,0,0,1,0,0,0,0,1
32,23,248249,0.07,0.03,80,1,6,1,50,180,148,0.39,2898,579,1,1,0,0,0,1,1,0,1,0,0,0
33,48,223327,0.01,0.0,109,1,4,66,163,200,48,0.13,4465,637,0,1,1,0,0,0,1,0,0,1,0,0
34,18,34423,0.02,0.02,72,3,3,70,292,319,158,0.61,7422,530,0,1,1,0,0,1,1,1,0,0,0,0
35,39,7574,0.03,0.0,88,1,7,96,243,280,113,0.19,2903,483,1,1,0,0,0,0,1,1,1,0,0,0
36,49,105658,0.04,0.0,28,1,6,88,462,387,190,0.01,1403,467,0,1,1,0,0,1,1,0,0,0,0,0
37,41,96891,0.06,0.03,104,3,6,23,17,223,40,0.08,3195,798,1,1,0,0,0,0,1,1,0,0,0,0
38,46,164554,0.02,0.01,38,1,1,67,89,369,17,0.85,3426,856,0,1,1,0,0,0,0,0,1,0,0,0
39,62,16348,0.01,0.01,57,3,0,4,395,220,242,0.11,2098,699,1,1,1,0,0,0,1,0,0,0,0,0
40,70,226947,0.07,0.01,50,1,6,42,222,397,216,0.59,3959,989,0,1,1,0,0,0,1,0,1,0,0,0
41,14,174954,0.02,0.03,27,3,6,32,171,291,77,0.12,1134,1134,0,1,0,1,0,0,1,0,0,1,1,1
42,78,23460,0.02,0.0,21,0,4,89,173,129,214,0.3,277,277,1,1,0,0,0,1,1,0,0,0,0,0
43,70,37715,0.05,0.02,76,3,5,38,384,165,65,0.88,4690,670,1,1,1,0,0,1,1,1,0,0,0,0
44,18,203162,0.05,0.0,109,2,4,70,403,62,184,0.56,5273,753,0,1,1,0,0,1,1,1,0,0,1,0
45,37,29170,0.03,0.0,67,2,4,95,96,364,80,0.82,3490,698,1,1,0,0,0,0,1,1,0,0,0,1
46,18,38201,0.04,0.01,92,3,3,72,305,440,179,0.89,5115,511,1,1,1,0,0,1,1,0,1,0,0,0
47,17,92607,0.05,0.02,58,1,2,32,398,103,209,0.44,3510,585,0,1,0,0,0,1,1,0,0,0,0,0
48,36,172002,0.01,0.0,17,1,3,80,499,129,60,0.12,7052,881,1,0,1,0,0,0,1,0,1,0,0,1
49,34,65936,0.06,0.03,10,3,5,61,28,489,132,0.28,3603,514,1,1,1,0,0,1,1,0,1,0,0,0
50,33,79656,0.04,0.0,64,0,5,19,439,30,96,0.2,3503,500,0,1,1,0,0,1,0,0,0,0,0,0
51,39,34041,0.07,0.02,51,2,0,17,157,416,54,0.61,6399,711,1,1,0,0,1,0,1,0,0,1,0,0
52,23,32234,0.03,0.02,24,0,1,75,284,292,174,0.12,3506,701,0,1,0,0,0,1,1,1,1,0,0,0
53,27,62954,0.05,0.0,112,0,0,28,203,109,208,0.08,5100,850,0,1,0,0,0,0,1,1,0,1,0,0
54,61,168709,0.05,0.03,100,3,4,35,448,61,73,0.95,4185,597,1,1,1,0,0,0,1,0,1,0,0,1
55,23,137766,0.02,0.01,64,0,2,81,413,159,44,0.21,4261,608,0,1,0,0,0,0,1,0,0,0,0,0
56,65,218731,0.04,0.03,11,3,2,85,360,170,72,0.63,3738,934,1,1,0,0,0,0,1,1,0,1,0,0
57,37,151080,0.02,0.02,101,1,1,70,283,133,145,0.02,2339,584,0,1,0,0,1,0,1,1,1,0,0,0
58,45,14915,0.01,0.02,12,3,3,46,385,329,228,0.24,1428,1428,1,0,1,0,0,0,1,0,0,0,0,1
59,52,37532,0.06,0.01,8,1,0,70,458,184,197,0.54,4160,594,0,1,0,0,1,1,1,1,0,1,0,0
60,26,1871,0.01,0.0,87,3,0,32,27,321,227,0.65,946,236,1,1,0,1,0,1,0,1,0,1,0,0
61,76,143140,0.06,0.01,94,3,4,58,203,43,88,0.65,2748,392,0,1,0,0,0,1,0,1,1,0,0,0
62,61,59046,0.03,0.02,81,2,1,99,407,443,74,0.97,1823,364,0,1,0,0,1,0,1,1,1,0,0,0
63,29,249910,0.04,0.01,86,2,3,25,423,212,55,0.12,5124,640,0,1,1,0,0,0,1,0,0,0,0,0
64,58,202088,0.02,0.0,41,3,5,78,473,462,170,0.99,6066,1011,1,1,1,0,0,0,1,1,1,0,0,0
65,54,9218,0.05,0.0,24,2,1,47,416,425,242,0.78,2035,1017,0,1,1,0,0,0,1,0,0,0,0,0
66,45,187933,0.07,0.01,82,3,4,71,366,138,186,0.75,3305,826,0,1,0,0,0,0,1,0,1,0,0,0
67,73,32796,0.01,0.01,53,3,7,13,361,338,227,0.26,283,283,0,1,1,0,0,1,1,0,1,0,0,0
68,29,154038,0.03,0.01,36,3,6,65,160,72,141,0.0,2877,719,0,1,0,0,0,1,1,0,1,0,0,0
69,14,118019,0.01,0.01,18,0,0,61,149,419,172,0.82,370,185,1,1,0,0,0,0,1,1,0,0,0,0
70,27,121639,0.01,0.0,112,3,6,14,167,338,170,0.18,1796,449,1,1,1,0,0,0,1,0,1,0,0,1
71,41,117401,0.07,0.01,78,3,6,22,486,376,114,0.07,2688,672,0,1,1,0,0,0,1,0,0,0,0,0
72,14,92818,0.07,0.0,68,2,7,25,61,357,74,0.17,3482,580,1,1,0,1,0,1,1,1,0,0,0,0
73,68,167929,0.04,0.03,15,3,0,60,2,484,174,0.11,4027,575,1,1,1,0,0,1,0,1,1,0,0,0
74,50,39509,0.03,0.03,46,3,4,72,304,457,67,0.31,1287,643,1,1,1,0,0,0,1,1,1,0,0,0
75,77,108911,0.0,0.02,66,2,5,1,324,350,51,0.73,5745,718,0,1,1,0,0,1,1,0,1,0,0,0
76,44,127595,0.0,0.02,35,3,6,81,194,377,127,0.8,4443,555,0,1,1,0,0,0,1,1,1,0,0,0
77,75,68582,0.0,0.0,99,3,0,87,263,297,154,0.5,1318,329,0,1,1,0,0,0,1,1,0,0,0,0
78,57,184389,0.07,0.0,35,2,1,0,463,211,208,0.41,2808,468,1,1,0,0,0,1,1,0,0,0,0,0
79,20,114227,0.0,0.03,33,1,3,47,158,350,184,0.18,616,616,0,0,0,0,1,0,0,1,1,0,0,0
80,37,50109,0.03,0.02,20,3,4,0,54,24,193,0.15,5239,873,0,1,0,0,0,1,0,1,0,0,0,0
81,59,12427,0.01,0.0,89,3,3,67,145,223,228,0.94,4271,610,0,1,1,0,0,0,1,0,1,0,0,0
82,38,84931,0.01,0.01,119,3,0,54,125,203,22,0.31,880,880,0,1,0,0,1,1,1,0,0,1,0,0
83,48,186401,0.0,0.03,61,3,7,70,252,35,54,0.55,2879,959,0,1,1,0,0,0,1,0,1,0,0,0
84,68,18307,0.04,0.02,25,1,1,34,40,107,83,0.74,1366,455,0,1,1,0,0,0,1,0,0,1,0,1
85,19,103975,0.01,0.0,93,2,4,4,100,137,185,0.97,3802,760,1,1,1,0,0,0,0,1,0,1,0,0
86,50,186620,0.04,0.02,29,0,2,83,79,288,230,0.16,2168,722,0,1,1,0,0,0,0,1,0,1,0,0
87,75,157436,0.03,0.0,62,2,1,18,63,406,146,0.58,6223,622,0,1,1,0,0,0,0,0,0,1,0,0
88,29,231037,0.06,0.0,3,3,5,34,420,427,131,0.73,4045,1011,0,1,0,0,0,1,1,1,0,0,1,0
89,48,116176,0.07,0.0,96,1,2,46,308,129,227,0.66,1980,990,1,1,0,0,0,0,0,1,0,1,0,0
90,14,132630,0.05,0.03,105,2,6,21,22,301,111,0.89,3718,743,0,1,1,0,0,1,0,1,0,1,0,0
91,19,157224,0.07,0.01,19,2,7,47,442,430,200,0.95,2616,654,1,1,1,0,0,1,1,0,0,0,0,0
92,53,105519,0.05,0.02,53,3,7,13,168,71,196,0.23,5302,883,0,1,0,1,0,0,0,0,0,1,0,0
93,18,80953,0.0,0.02,113,1,4,89,444,438,185,0.46,6890,765,0,1,1,0,0,0,1,1,1,0,0,0
94,18,248372,0.06,0.02,19,2,5,81,102,332,193,0.94,3711,463,0,1,1,0,0,1,1,1,0,1,0,0
95,31,195129,0.0,0.02,18,2,4,81,466,316,159,0.94,7215,721,0,1,0,1,0,1,1,0,0,0,0,0
96,38,80724,0.01,0.02,0,2,7,46,122,75,211,0.7,4481,896,1,1,0,0,0,1,1,0,0,0,0,0
97,68,210927,0.04,0.0,0,0,3,61,287,64,190,0.87,1711,342,0,1,1,0,0,1,1,1,0,0,0,0
98,45,248684,0.03,0.03,72,1,3,72,287,242,87,0.8,987,987,0,1,0,0,0,0,1,0,0,0,0,0
99,70,219929,0.01,0.01,84,1,2,13,260,367,43,0.56,2834,708,0,1,0,1,0,1,1,0,1,0,0,0
100,37,199230,0.02,0.02,116,3,4,3,159,456,122,0.24,4656,665,0,1,0,1,0,0,1,1,0,0,0,0
101,38,18782,0.01,0.0,16,2,6,38,467,274,149,0.6,6839,854,0,1,0,0,1,1,1,0,0,0,0,0
102,60,121416,0.01,0.0,44,0,2,14,51,252,176,0.4,3767,627,0,1,0,0,1,1,1,0,1,0,0,0
103,22,111375,0.05,0.0,0,3,0,37,91,399,35,0.51,1272,636,0,1,0,0,0,0,1,1,0,1,0,0
104,47,92279,0.01,0.0,2,0,2,24,431,252,197,0.24,4553,758,0,1,1,0,0,1,1,0,0,1,0,0
105,33,108933,0.06,0.0,115,0,1,61,313,68,149,0.04,1247,623,0,1,0,0,0,0,1,1,0,0,0,0
106,14,86099,0.07,0.03,64,0,5,1,371,182,85,0.04,6430,918,1,1,1,0,0,1,0,0,1,0,0,0
107,62,175873,0.04,0.0,1,3,6,60,370,406,50,0.65,4379,729,1,1,0,0,0,1,1,0,0,0,0,0
108,61,46500,0.0,0.01,104,2,4,54,489,437,74,0.85,3794,758,0,1,1,0,0,1,1,0,0,0,0,0
109,66,125072,0.04,0.0,5,3,3,35,12,221,151,0.13,6066,758,1,1,1,0,0,1,1,0,0,1,0,0
110,37,56529,0.05,0.02,63,0,3,18,472,342,247,0.37,7019,779,1,1,0,0,0,0,1,1,1,0,0,0
111,59,104092,0.02,0.01,19,1,7,20,405,234,82,0.45,162,162,0,1,1,0,0,1,1,1,1,0,0,1
112,21,148974,0.0,0.02,112,1,1,22,137,153,80,0.62,7263,1037,1,1,1,0,0,1,1,1,0,1,0,0
113,78,222499,0.05,0.02,39,3,5,34,338,404,125,0.65,5306,1061,0,1,0,0,0,0,1,0,0,1,0,0
114,31,236207,0.07,0.03,69,1,3,62,254,335,40,0.42,989,989,1,1,0,0,0,0,1,0,0,0,0,0
115,29,212593,0.06,0.0,19,2,6,50,407,150,247,0.68,4701,671,1,1,0,0,0,1,1,1,1,0,0,0
116,17,150417,0.03,0.02,62,0,0,11,142,154,142,0.64,5572,1114,0,1,1,0,0,1,1,1,0,1,0,0
117,25,152019,0.03,0.01,86,0,6,52,166,472,65,0.89,11,11,0,1,0,1,0,0,1,0,1,0,0,0
118,38,224002,0.05,0.03,86,0,5,33,257,11,180,0.56,1138,569,1,1,1,0,0,1,1,1,1,0,0,0
119,66,125072,0.04,0.0,5,3,3,35,12,221,151,0.13,3493,1164,1,1,1,0,0,1,1,0,0,1,0,0
120,69,248706,0.02,0.0,1,3,7,32,276,460,185,0.12,2957,739,1,1,1,0,0,0,1,1,0,1,0,1
121,37,125172,0.05,0.01,14,1,7,55,76,155,100,0.36,2851,950,0,1,0,0,0,1,1,1,1,0,0,0
122,20,134590,0.0,0.0,73,0,7,50,167,188,203,0.52,5408,772,1,1,1,0,0,1,1,1,0,1,0,0
123,34,66382,0.05,0.03,26,1,5,62,260,160,121,0.84,2430,810,0,1,1,0,0,0,1,0,1,0,0,0
124,46,166174,0.04,0.02,12,1,3,81,313,74,218,0.22,1451,290,0,1,0,1,0,0,1,1,0,1,0,0
125,27,183972,0.06,0.02,114,2,7,1,427,36,47,0.14,2317,463,0,1,1,0,0,0,1,0,0,0,0,0
126,63,137437,0.05,0.02,94,1,5,95,487,85,202,0.11,5806,725,0,1,0,1,0,0,1,1,0,1,1,0
127,70,248033,0.0,0.0,58,3,3,43,140,372,134,0.58,3340,835,0,1,0,0,0,1,1,1,0,0,0,0
128,30,159061,0.03,0.03,48,0,0,97,35,165,246,0.03,7438,743,0,1,0,0,0,0,1,1,0,1,0,0
129,55,116962,0.07,0.01,107,1,0,63,461,482,105,0.48,5067,723,0,0,0,1,0,0,1,1,1,0,0,0
130,44,23683,0.02,0.0,89,3,0,89,289,214,208,0.08,2618,436,0,1,0,1,0,1,1,0,0,0,1,0
131,26,125401,0.02,0.03,95,2,0,21,439,295,243,0.23,1216,608,1,1,0,1,0,1,1,1,0,0,0,0
132,54,82085,0.06,0.02,11,2,5,87,264,29,103,0.62,3718,743,0,1,0,1,0,1,1,1,1,0,0,0
133,66,130524,0.03,0.03,116,2,5,73,377,321,47,0.49,5648,806,0,1,1,0,0,0,1,1,0,0,0,1
134,25,9318,0.06,0.02,33,1,5,67,479,358,190,0.02,4095,682,1,1,0,0,0,1,1,0,0,1,0,0
135,69,117713,0.04,0.01,11,2,4,13,170,286,8,0.94,1429,714,0,1,0,0,0,1,1,0,1,0,0,0
136,36,27087,0.02,0.03,41,3,4,85,398,325,192,0.64,1912,637,0,1,0,0,0,0,0,1,0,0,1,0
137,27,187506,0.04,0.0,50,3,4,20,295,75,57,0.22,2936,489,0,1,1,0,0,0,1,0,0,1,0,0
138,27,172693,0.05,0.02,31,1,2,42,336,104,140,0.78,581,581,0,1,1,0,0,1,1,0,0,0,0,0
139,36,112555,0.0,0.01,3,2,4,93,290,210,228,0.3,3273,818,0,1,0,1,0,0,0,0,1,0,0,0
140,39,25572,0.04,0.0,56,0,6,79,25,386,9,0.67,4441,740,0,0,0,0,0,0,1,1,1,0,0,0
141,12,12845,0.05,0.0,43,2,1,43,140,121,220,0.12,3302,825,0,1,1,0,0,1,1,1,0,0,0,0
142,14,86099,0.07,0.03,64,0,5,1,371,182,85,0.04,3869,644,1,1,1,0,0,1,0,0,1,0,0,0
143,69,186373,0.04,0.03,119,0,6,45,16,262,58,0.16,3202,400,0,1,1,0,0,1,0,1,0,0,0,0
144,12,56734,0.02,0.01,61,3,4,46,387,42,213,0.02,1237,1237,0,1,1,0,0,0,1,0,0,1,0,0
145,45,217640,0.07,0.02,113,0,0,20,229,183,29,0.92,476,476,0,1,1,0,0,0,1,0,0,0,0,0
146,56,17774,0.03,0.01,91,1,0,98,158,57,107,0.89,2013,503,0,1,0,0,0,1,0,1,0,0,0,0
147,41,223661,0.03,0.0,58,3,2,39,377,106,209,0.41,48,48,0,1,1,0,0,1,1,1,0,1,0,0
148,63,21817,0.0,0.03,85,3,1,37,1,484,85,0.71,5901,737,1,1,0,0,1,0,1,1,1,0,0,0
149,15,39417,0.04,0.0,115,0,6,72,406,23,179,0.95,3386,846,0,1,1,0,0,1,1,1,0,0,0,0
150,14,46716,0.0,0.01,7,1,7,12,399,245,88,0.66,7065,706,0,1,1,0,0,1,1,0,1,0,0,0
151,64,206114,0.06,0.03,119,3,7,22,74,225,200,0.57,1552,517,0,1,0,1,0,1,1,0,1,0,0,0
152,40,209424,0.03,0.03,73,3,4,63,367,456,136,0.97,1263,1263,0,1,0,0,0,0,1,1,1,0,0,0
153,55,25221,0.0,0.03,37,3,5,33,110,94,70,0.26,5360,765,0,1,0,0,0,0,1,0,1,0,0,0
154,36,158657,0.07,0.0,64,2,4,6,452,321,214,0.81,3491,872,1,1,0,0,0,1,0,0,0,0,0,0
155,65,237604,0.02,0.0,94,2,1,75,363,454,247,0.02,6662,740,1,1,1,0,0,0,1,1,1,0,0,0
156,28,191637,0.06,0.02,29,0,7,50,206,326,185,0.11,1141,1141,0,1,1,0,0,0,1,0,1,0,0,0
157,44,16219,0.05,0.03,106,1,3,59,95,13,47,0.48,4150,830,0,1,0,0,0,1,1,0,0,0,0,0
158,38,139426,0.05,0.01,36,2,3,27,328,468,121,0.04,2976,992,1,1,0,0,0,1,1,1,0,1,0,0
159,59,125477,0.01,0.03,108,1,7,26,95,65,183,0.35,2141,1070,0,1,1,0,0,1,1,1,1,0,0,0
160,52,218871,0.05,0.03,20,3,6,38,113,208,146,0.32,2858,571,0,1,0,0,0,1,0,1,0,1,0,0
161,64,160904,0.05,0.0,89,3,5,11,375,455,191,0.2,5695,1139,1,1,0,0,0,1,1,0,0,0,0,0
162,18,173439,0.04,0.0,42,0,0,26,298,353,143,0.16,3556,592,0,1,1,0,0,0,1,0,0,0,0,0
163,23,232464,0.01,0.01,36,1,5,28,183,264,245,0.52,4351,870,0,1,1,0,0,0,1,0,1,0,0,0
164,16,219953,0.01,0.0,46,2,2,50,208,307,221,0.77,86,86,0,1,0,0,0,1,1,0,0,1,0,0
165,20,60978,0.02,0.03,107,1,1,4,316,58,169,0.21,2940,588,1,1,1,0,0,0,1,0,0,0,0,1
166,24,175546,0.0,0.02,64,3,6,51,403,55,38,0.45,2123,353,0,1,1,0,0,1,1,0,0,1,0,0
167,61,7117,0.01,0.03,47,0,6,64,17,499,76,0.47,5350,535,0,1,1,0,0,0,0,0,0,0,0,0
168,46,127683,0.03,0.0,107,3,3,94,304,479,197,0.98,925,925,1,1,0,0,0,0,1,0,0,1,0,0
169,67,68154,0.04,0.01,33,0,4,59,232,12,194,0.06,5654,706,0,1,1,0,0,1,1,0,0,0,0,1
170,46,212705,0.02,0.02,53,3,4,0,465,193,244,0.07,1214,1214,0,1,0,0,1,0,1,0,1,0,0,0
171,19,64592,0.02,0.02,36,3,6,15,128,200,188,0.59,254,254,0,1,1,0,0,1,1,1,0,0,0,1
172,46,125617,0.02,0.03,117,1,2,79,348,103,7,0.03,2546,509,0,1,1,0,0,0,1,1,0,1,0,0
173,36,209172,0.06,0.01,30,1,3,59,56,376,64,0.89,4755,792,0,1,0,0,0,0,1,1,1,0,0,0
174,58,201213,0.05,0.03,46,3,5,70,252,284,141,0.09,3900,975,0,1,0,1,0,0,1,1,1,0,0,0
175,16,189653,0.01,0.0,65,2,2,5,154,276,86,0.36,3326,665,1,1,0,1,0,1,1,1,0,0,0,0
176,38,178792,0.04,0.0,57,0,3,21,58,241,170,0.19,3476,869,0,1,1,0,0,1,1,1,0,1,0,0
177,23,57397,0.03,0.03,13,3,2,83,487,243,46,0.3,4317,1079,1,1,0,0,0,1,1,0,0,0,0,0
178,76,112243,0.03,0.01,70,3,6,2,105,300,84,0.44,4242,707,0,1,1,0,0,1,1,0,0,0,0,0
179,32,20062,0.02,0.01,115,0,1,35,270,296,209,0.73,681,227,0,1,1,0,0,1,1,1,1,0,0,0
180,26,59105,0.0,0.02,58,0,1,9,321,50,66,0.86,2405,801,1,1,0,0,0,0,1,0,0,1,0,0
181,36,53125,0.07,0.01,25,2,4,0,322,454,93,0.72,4178,696,0,1,0,0,0,0,1,1,1,0,0,0
182,53,73300,0.05,0.0,16,1,2,48,118,479,175,0.54,2799,699,0,1,0,0,0,1,1,0,1,0,0,0
183,57,222136,0.04,0.02,82,3,6,81,469,280,57,0.19,1735,347,1,1,1,0,0,0,1,1,1,0,0,0
184,51,95771,0.03,0.01,111,2,7,55,191,242,171,0.08,4168,694,0,1,0,1,0,0,1,0,1,0,0,0
185,18,39076,0.02,0.02,87,3,3,79,26,118,208,0.8,7044,880,0,1,1,0,0,1,1,0,1,0,0,0
186,27,88100,0.05,0.01,64,2,2,41,164,397,133,0.02,2850,712,0,1,1,0,0,1,1,1,1,0,0,0
187,68,84456,0.05,0.03,8,3,3,50,198,37,206,0.45,4007,667,0,1,1,0,0,1,0,1,1,0,0,0
188,45,170364,0.04,0.02,94,2,5,94,74,38,81,0.6,4357,1089,0,1,0,0,0,0,1,0,1,0,0,0
189,55,1342,0.02,0.02,99,3,4,6,474,381,238,0.08,5721,817,1,1,0,1,0,0,1,1,0,0,1,0
190,29,30807,0.0,0.02,111,2,1,81,21,455,59,0.33,3497,582,0,1,1,0,0,0,1,1,1,0,0,0
191,45,33489,0.01,0.03,13,0,7,31,115,257,218,0.72,1839,459,1,1,0,0,0,0,1,1,1,0,0,1
192,76,64522,0.01,0.01,34,2,4,75,219,484,147,0.55,3849,962,0,1,0,0,1,0,1,1,1,0,0,0
193,12,143392,0.04,0.03,17,0,5,62,14,124,159,0.73,5204,743,0,1,0,0,0,0,1,0,1,0,0,0
194,44,216449,0.03,0.02,119,2,7,12,494,486,119,0.88,2366,591,0,1,1,0,0,0,0,1,0,0,0,0
195,31,153680,0.0,0.03,92,1,4,76,39,3,222,0.61,4254,850,0,1,1,0,0,0,1,0,0,1,0,0
196,64,21089,0.04,0.03,24,3,6,26,239,121,111,0.47,3559,593,0,1,0,0,1,0,1,1,0,0,0,0
197,45,65724,0.02,0.0,86,3,4,90,407,13,187,0.65,1779,593,1,1,1,0,0,0,0,0,0,1,0,0
198,14,56077,0.01,0.0,35,0,7,52,494,117,110,0.73,7685,1097,1,1,1,0,0,0,1,0,0,0,0,0
199,27,15380,0.05,0.01,11,3,2,97,276,108,75,0.85,4104,1026,1,0,1,0,0,1,1,1,0,1,0,0
200,57,39475,0.0,0.03,59,3,2,4,362,407,90,0.94,1771,442,0,1,0,0,0,1,1,1,1,0,0,1
201,43,48383,0.02,0.01,25,3,1,1,19,331,144,0.46,6837,854,0,1,1,0,0,1,1,0,0,1,0,1
202,35,143398,0.01,0.02,29,2,2,27,261,179,58,0.81,985,328,1,1,0,0,0,1,1,0,0,0,0,0
203,31,169912,0.05,0.02,32,3,4,50,137,90,113,0.05,5726,818,1,1,0,0,0,0,1,1,0,1,0,0
204,42,44681,0.07,0.0,25,0,7,77,97,87,56,0.9,4117,823,0,1,0,0,0,0,0,1,0,0,0,0
205,63,173433,0.07,0.02,30,2,3,61,51,298,244,0.08,5764,823,1,1,1,0,0,1,1,1,1,0,0,0
206,31,239594,0.05,0.01,70,2,4,85,162,59,246,0.84,8384,838,1,1,1,0,0,0,1,0,1,0,0,0
207,33,195592,0.07,0.02,72,1,3,77,440,151,95,0.75,4442,634,0,1,1,0,0,1,1,1,0,0,0,0
208,26,146339,0.01,0.01,48,3,0,26,397,454,107,0.56,4103,820,0,1,0,1,0,0,1,0,0,0,0,0
209,20,218438,0.03,0.01,61,3,5,44,335,369,37,0.8,1254,418,0,1,0,1,0,1,1,1,0,0,0,0
210,72,29540,0.04,0.0,70,2,4,91,170,265,128,0.27,1127,375,0,1,1,0,0,1,1,0,0,1,0,0
211,77,162160,0.06,0.02,112,2,0,44,165,143,66,0.7,245,245,0,1,1,0,0,0,1,1,0,1,0,1
212,44,200071,0.04,0.03,4,3,2,43,437,84,174,0.77,662,662,1,1,0,0,0,0,1,1,1,0,0,0
213,58,685,0.01,0.01,72,3,7,12,80,456,135,0.78,5003,1000,0,1,0,0,0,0,1,0,1,0,0,0
214,52,1982,0.03,0.01,88,2,2,5,126,142,144,0.14,3140,448,0,1,0,0,0,1,1,1,0,1,0,0
215,78,151697,0.05,0.02,41,2,3,9,445,175,203,0.77,4176,1044,1,1,1,0,0,1,1,0,1,0,1,0
216,24,141169,0.0,0.03,102,1,2,99,64,47,198,0.86,3125,520,1,1,0,1,0,0,0,0,0,0,0,0
217,21,186590,0.04,0.03,21,3,1,3,425,70,72,0.97,4153,830,0,1,1,0,0,1,1,0,0,1,0,0
218,23,232317,0.0,0.01,102,1,0,32,224,449,191,0.85,3283,820,0,0,1,0,0,0,1,0,0,1,0,0
