model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,failed_main_inspection,condition
 A Class,2017,16065,Semi-Auto,9817,Diesel,145,74.3,1.5,Mercedes,0.0,1
 Up,2014,4591,Manual,38096,Petrol,20,62.8,1.0,VW,0.0,2
 Q2,2017,19888,Semi-Auto,29700,Petrol,125,52.3,1.4,Audi,0.0,1
 Golf,2013,7490,Manual,101638,Diesel,0,74.3,1.6,VW,1.0,3
 Q5,2010,11099,Automatic,115355,Diesel,300,37.6,3.0,Audi,1.0,3
 Golf,2014,11200,Manual,26491,Diesel,20,68.9,2.0,VW,0.0,4
 C Class,2019,20676,Automatic,11330,Diesel,145,61.4,2.0,Mercedes,0.0,1
 Q3,2015,17450,Manual,29028,Petrol,145,49.6,1.4,Audi,0.0,1
 A Class,2016,14552,Semi-Auto,20522,Diesel,0,76.4,1.5,Mercedes,0.0,1
 Q3,2015,10500,Manual,96688,Diesel,125,60.1,2.0,Audi,0.0,1
 E Class,2020,35990,Semi-Auto,2098,Diesel,145,70.6,2.0,Mercedes,1.0,3
 A3,2016,17950,Semi-Auto,25540,Petrol,125,48.7,2.0,Audi,0.0,2
 A Class,2016,15800,Manual,15863,Diesel,20,68.9,1.5,Mercedes,0.0,2
 A Class,2019,19980,Semi-Auto,11544,Diesel,145,65.7,1.5,Mercedes,0.0,1
 GLE Class,2018,35002,Semi-Auto,17844,Diesel,150,37.7,3.0,Mercedes,0.0,2
 A6,2012,7500,Manual,80184,Diesel,150,56.5,2.0,Audi,0.0,2
 Golf,2016,12498,Semi-Auto,20737,Diesel,20,58.9,1.6,VW,0.0,1
 Polo,2017,9290,Manual,61146,Petrol,20,60.1,1.2,VW,1.0,5
 A5,2018,22500,Manual,18600,Diesel,145,64.2,2.0,Audi,0.0,1
 Golf,2017,18999,Automatic,18972,Diesel,145,57.7,2.0,VW,0.0,3
 Up,2017,7990,Manual,18031,Petrol,20,64.2,1.0,VW,0.0,5
 A3,2016,17992,Semi-Auto,37798,Diesel,125,57.6,2.0,Audi,0.0,3
 E Class,2017,19799,Semi-Auto,26735,Diesel,20,72.4,2.0,Mercedes,1.0,5
 A1,2016,13888,Semi-Auto,20800,Petrol,30,56.5,1.4,Audi,0.0,2
 A3,2016,14500,Manual,27782,Petrol,30,57.6,1.4,Audi,0.0,3
 A1,2019,21500,Automatic,2572,Petrol,150,44.8,1.5,Audi,0.0,1
 C Class,2019,25980,Semi-Auto,17934,Petrol,145,45.6,1.5,Mercedes,1.0,4
 A4,2017,19430,Automatic,18838,Diesel,145,65.7,2.0,Audi,0.0,4
 E Class,2019,36998,Semi-Auto,503,Petrol,145,32.9,2.0,Mercedes,0.0,2
 Q5,2014,17190,Automatic,46664,Diesel,235,44.1,3.0,Audi,0.0,1
 A3,2018,18100,Manual,11212,Petrol,145,50.4,2.0,Audi,0.0,4
 C Class,2019,26981,Automatic,6344,Diesel,145,61.4,2.0,Mercedes,0.0,5
 GLE Class,2016,39844,Semi-Auto,10469,Petrol,325,31.7,3.0,Mercedes,0.0,5
 A6,2016,15995,Manual,34723,Diesel,30,64.2,2.0,Audi,0.0,2
 C Class,2018,20250,Automatic,67364,Diesel,145,58.9,1.6,Mercedes,0.0,1
 C Class,2016,23999,Semi-Auto,8000,Diesel,30,65.7,2.1,Mercedes,0.0,5
 CL Class,2019,27500,Semi-Auto,3635,Petrol,145,39.8,2.0,Mercedes,0.0,2
 GLC Class,2020,36851,Semi-Auto,224,Diesel,145,44.8,2.0,Mercedes,0.0,2
 Golf,2015,15290,Manual,25788,Diesel,20,67.3,2.0,VW,0.0,3
 A Class,2016,17962,Manual,14001,Petrol,200,41.5,2.0,Mercedes,0.0,3
 GLA Class,2018,31490,Semi-Auto,16256,Petrol,145,38.2,2.0,Mercedes,0.0,4
 A4,2019,25800,Automatic,3161,Diesel,145,44.8,2.0,Audi,0.0,3
 Tiguan,2017,20995,Semi-Auto,10721,Diesel,125,57.6,2.0,VW,0.0,3
 Polo,2016,8950,Manual,29571,Petrol,20,60.1,1.2,VW,0.0,4
 A Class,2019,26991,Manual,1598,Petrol,150,47.1,1.3,Mercedes,0.0,2
 Up,2016,6995,Manual,14800,Petrol,20,64.2,1.0,VW,0.0,5
 C Class,2014,16699,Automatic,31845,Diesel,30,61.4,2.1,Mercedes,0.0,3
 C Class,2019,29480,Semi-Auto,2398,Petrol,145,47.1,1.5,Mercedes,0.0,2
 Q7,2018,56900,Semi-Auto,4264,Diesel,145,39.2,4.0,Audi,0.0,1
 GLA Class,2019,27499,Automatic,799,Petrol,145,35.8,1.6,Mercedes,0.0,3
 Golf,2017,11995,Automatic,37600,Diesel,20,58.9,1.6,VW,0.0,1
 Tiguan,2017,17200,Manual,21815,Diesel,125,58.9,2.0,VW,0.0,2
 C Class,2018,23022,Automatic,7112,Diesel,145,61.4,2.0,Mercedes,0.0,5
 3 Series,2012,8545,Manual,62489,Diesel,30,61.4,2.0,BMW,0.0,4
 C Class,2015,12750,Manual,22000,Petrol,125,53.3,2.0,Mercedes,0.0,1
 Golf,2017,13500,Automatic,15946,Petrol,150,55.4,1.4,VW,0.0,3
 A1,2018,15990,Semi-Auto,8197,Petrol,145,56.5,1.4,Audi,0.0,1
 Golf,2017,12950,Manual,25200,Petrol,30,53.3,1.4,VW,1.0,4
 Passat,2016,8000,Manual,74896,Diesel,20,68.9,1.6,VW,0.0,3
 A6,2019,26888,Semi-Auto,17074,Diesel,150,50.4,2.0,Audi,0.0,2
 C Class,2019,24699,Semi-Auto,5426,Petrol,145,44.1,1.5,Mercedes,0.0,1
 A Class,2018,15121,Manual,7678,Diesel,145,72.4,1.5,Mercedes,0.0,3
 Polo,2016,9495,Manual,19600,Petrol,20,60.1,1.2,VW,0.0,5
 SL CLASS,2019,29755,Semi-Auto,6407,Petrol,145,47.1,2.0,Mercedes,0.0,5
 CL Class,2015,12990,Manual,62999,Diesel,20,64.2,2.1,Mercedes,1.0,3
 A Class,2015,16998,Semi-Auto,31669,Petrol,200,42.8,2.0,Mercedes,0.0,1
 GLC Class,2017,29980,Semi-Auto,35932,Diesel,145,56.5,2.1,Mercedes,0.0,5
 C Class,2018,42995,Automatic,14400,Petrol,145,32.8,4.0,Mercedes,0.0,3
 A3,2017,18950,Manual,11715,Petrol,145,54.3,1.5,Audi,0.0,5
 GLA Class,2017,16500,Manual,25343,Diesel,145,67.3,2.1,Mercedes,0.0,3
 Q2,2018,21495,Manual,21758,Petrol,145,50.4,1.4,Audi,0.0,3
 Q2,2019,19950,Manual,8000,Diesel,145,49.6,1.6,Audi,0.0,1
 E Class,2020,46200,Semi-Auto,3851,Petrol,145,33.7,2.0,Mercedes,0.0,4
 Q2,2019,22444,Manual,3569,Diesel,150,49.6,1.6,Audi,0.0,2
 B Class,2015,12998,Semi-Auto,20900,Diesel,20,67.3,1.5,Mercedes,0.0,1
 A Class,2019,21480,Semi-Auto,8,Diesel,145,56.5,2.0,Mercedes,0.0,1
 A3,2020,26500,Manual,80,Diesel,145,52.3,1.6,Audi,0.0,5
 C Class,2016,14700,Automatic,46456,Diesel,30,62.8,2.1,Mercedes,0.0,1
 C Class,2020,29990,Semi-Auto,79,Diesel,145,64.2,2.0,Mercedes,0.0,1
 Golf,2016,11995,Manual,23403,Petrol,30,53.3,1.4,VW,0.0,1
 CL Class,2017,20500,Automatic,11688,Diesel,145,67.3,2.1,Mercedes,0.0,5
 Polo,2014,7995,Manual,22967,Diesel,0,83.1,1.4,VW,0.0,2
 3 Series,2010,9990,Automatic,44000,Diesel,235,44.1,3.0,BMW,0.0,1
 Golf,2017,11990,Manual,20320,Diesel,0,74.3,1.6,VW,0.0,2
 Golf,2016,11995,Manual,30005,Diesel,20,68.9,2.0,VW,0.0,1
 Golf,2015,6199,Manual,58727,Diesel,0,74.3,1.6,VW,0.0,2
 CL Class,2019,25700,Semi-Auto,9075,Diesel,145,51.4,2.2,Mercedes,0.0,2
 A3,2017,18400,Semi-Auto,33200,Petrol,145,45.6,2.0,Audi,0.0,1
 C Class,2019,29995,Semi-Auto,5462,Petrol,150,42.2,2.0,Mercedes,0.0,4
 Q7,2016,29985,Automatic,30923,Diesel,200,47.9,3.0,Audi,0.0,4
 A5,2017,22990,Automatic,32800,Diesel,145,62.8,2.0,Audi,0.0,4
 A1,2015,11995,Automatic,24800,Petrol,30,56.5,1.4,Audi,0.0,1
 A Class,2017,15649,Manual,19619,Diesel,145,68.9,1.5,Mercedes,0.0,1
 A Class,2018,24995,Semi-Auto,4200,Petrol,145,53.3,1.3,Mercedes,0.0,5
 GLC Class,2019,36800,Semi-Auto,4889,Diesel,145,40.9,2.0,Mercedes,0.0,2
 Q7,2019,56990,Automatic,7133,Diesel,145,32.1,3.0,Audi,0.0,1
 C Class,2017,21498,Automatic,20916,Diesel,30,61.4,2.1,Mercedes,0.0,5
 Golf,2016,12392,Manual,27702,Petrol,30,53.3,1.4,VW,0.0,1
 A5,2015,13249,Manual,65069,Diesel,30,61.4,2.0,Audi,0.0,2
 Tiguan,2015,13990,Manual,32360,Diesel,160,48.7,2.0,VW,0.0,1
 A4,2018,23991,Automatic,5232,Diesel,145,65.7,2.0,Audi,0.0,1
 A4,2020,35000,Semi-Auto,2400,Petrol,145,39.2,2.0,Audi,0.0,4
 C Class,2018,37999,Semi-Auto,4000,Petrol,145,30.4,3.0,Mercedes,0.0,4
 A1,2015,9245,Manual,24851,Petrol,0,67.3,1.0,Audi,0.0,5
 Scirocco,2014,10000,Manual,65528,Diesel,30,62.8,2.0,VW,1.0,5
 Polo,2017,10214,Manual,17908,Petrol,145,60.1,1.0,VW,0.0,2
 Touran,2016,14790,Manual,62441,Diesel,30,61.4,1.6,VW,1.0,4
 Up,2017,7850,Manual,8000,Petrol,20,64.2,1.0,VW,0.0,2
 E Class,2019,43199,Semi-Auto,4548,Diesel,145,38.2,3.0,Mercedes,0.0,3
 CLS Class,2017,22995,Semi-Auto,16974,Diesel,150,56.5,2.1,Mercedes,0.0,1
 A6,2012,7995,Automatic,82528,Diesel,145,55.4,2.0,Audi,0.0,2
 Up,2014,4950,Manual,40734,Petrol,20,62.8,1.0,VW,0.0,3
 CL Class,2016,20500,Semi-Auto,26100,Petrol,200,41.5,2.0,Mercedes,0.0,3
 GLA Class,2017,21099,Semi-Auto,16000,Diesel,145,56.6,2.1,Mercedes,0.0,1
 CL Class,2017,18500,Manual,20537,Diesel,20,67.3,2.1,Mercedes,0.0,3
 GLE Class,2017,27000,Automatic,26844,Diesel,205,47.9,2.1,Mercedes,0.0,2
 B Class,2017,13449,Manual,14946,Diesel,145,68.9,1.5,Mercedes,0.0,3
 B Class,2017,13600,Automatic,19639,Diesel,20,68.9,1.5,Mercedes,0.0,2
 Golf,2016,8999,Manual,65600,Diesel,0,74.3,1.6,VW,0.0,3
 Scirocco,2017,16299,Manual,19584,Diesel,150,55.4,2.0,VW,0.0,1
 A3,2016,12900,Manual,81425,Petrol,30,57.6,1.4,Audi,1.0,4
 Tiguan,2015,15465,Manual,28837,Diesel,145,53.3,2.0,VW,0.0,2
 Q7,2018,49981,Semi-Auto,32219,Diesel,150,39.2,4.0,Audi,0.0,1
 A Class,2020,25879,Semi-Auto,800,Petrol,145,53.3,1.3,Mercedes,0.0,3
 Q2,2017,17760,Semi-Auto,19483,Diesel,20,68.9,1.6,Audi,0.0,3
 E Class,2014,13998,Semi-Auto,26723,Diesel,125,58.9,2.1,Mercedes,0.0,2
 C Class,2019,35499,Semi-Auto,2092,Petrol,145,36.2,3.0,Mercedes,0.0,1
 A3,2016,17000,Manual,27912,Diesel,30,62.8,2.0,Audi,0.0,1
 Golf,2016,22999,Automatic,8271,Petrol,200,39.8,2.0,VW,0.0,1
 Q5,2016,21995,Semi-Auto,29600,Diesel,200,47.1,2.0,Audi,0.0,3
 C Class,2014,16360,Semi-Auto,37140,Diesel,30,64.2,2.1,Mercedes,0.0,2
 Polo,2016,9450,Manual,9424,Petrol,20,58.9,1.0,VW,0.0,1
 A Class,2017,16392,Manual,15175,Diesel,145,68.9,1.5,Mercedes,0.0,2
 Q2,2019,25495,Manual,5200,Petrol,145,39.2,1.5,Audi,0.0,3
 A4,2019,23995,Semi-Auto,800,Petrol,145,38.7,2.0,Audi,0.0,3
 C Class,2019,24890,Automatic,6333,Petrol,145,42.2,2.0,Mercedes,0.0,2
 Q3,2019,36990,Semi-Auto,4000,Petrol,145,32.1,2.0,Audi,0.0,1
 A Class,2015,14400,Manual,21953,Diesel,20,70.6,1.5,Mercedes,0.0,1
 TT,2015,15299,Automatic,46584,Petrol,160,44.1,2.0,Audi,0.0,4
 A5,2016,11899,Manual,37426,Diesel,20,67.3,2.0,Audi,0.0,1
 A Class,2015,10500,Manual,56488,Diesel,20,72.4,1.5,Mercedes,0.0,1
 E Class,2019,37599,Semi-Auto,11224,Diesel,145,48.7,3.0,Mercedes,0.0,2
 Q3,2016,21995,Semi-Auto,13691,Petrol,200,40.4,2.0,Audi,0.0,5
 1 Series,2013,9995,Manual,26984,Diesel,20,68.9,2.0,BMW,0.0,1
 CL Class,2019,26799,Semi-Auto,2825,Petrol,145,38.2,2.0,Mercedes,0.0,1
 A Class,2017,19999,Automatic,22594,Petrol,160,45.6,2.0,Mercedes,0.0,1
 E Class,2017,19299,Semi-Auto,31575,Diesel,20,67.3,2.0,Mercedes,0.0,1
 C Class,2018,21691,Automatic,11128,Diesel,145,61.4,2.1,Mercedes,0.0,2
 Up,2016,6995,Manual,23527,Petrol,20,64.2,1.0,VW,0.0,4
 E Class,2015,14790,Semi-Auto,20080,Diesel,125,57.7,2.1,Mercedes,0.0,2
 A1,2017,11490,Manual,22243,Petrol,30,57.6,1.4,Audi,0.0,1
 E Class,2019,49390,Automatic,4000,Petrol,145,32.5,3.0,Mercedes,0.0,1
 E Class,2016,17990,Semi-Auto,22498,Diesel,30,65.7,2.0,Mercedes,0.0,3
 A Class,2017,32981,Semi-Auto,20480,Petrol,150,40.9,2.0,Mercedes,0.0,2
 C Class,2017,19999,Semi-Auto,7562,Diesel,145,64.2,2.1,Mercedes,0.0,2
 CL Class,2016,14990,Automatic,28000,Diesel,20,67.3,2.1,Mercedes,0.0,1
 Polo,2014,6650,Manual,34044,Petrol,125,51.4,1.2,VW,0.0,2
 C Class,2019,34099,Semi-Auto,4826,Petrol,145,44.1,2.0,Mercedes,0.0,2
 A6,2016,16420,Manual,42060,Diesel,30,61.4,2.0,Audi,0.0,2
 E Class,2017,23480,Semi-Auto,13308,Diesel,145,65.7,2.0,Mercedes,0.0,4
 Scirocco,2015,12990,Manual,29124,Diesel,30,53.3,2.0,VW,0.0,4
 C Class,2019,34499,Semi-Auto,3057,Petrol,145,44.1,2.0,Mercedes,0.0,3
 A1,2019,17500,Manual,13740,Petrol,145,50.4,1.0,Audi,0.0,4
 A Class,2019,23338,Semi-Auto,1607,Petrol,150,28.5,1.3,Mercedes,0.0,1
 V Class,2019,38200,Automatic,3179,Diesel,145,45.6,2.2,Mercedes,0.0,1
 Golf,2017,12999,Manual,17967,Petrol,30,53.3,1.4,VW,0.0,4
 A1,2019,21991,Semi-Auto,8,Petrol,145,44.8,1.5,Audi,0.0,1
 A4,2019,18998,Manual,2880,Petrol,145,41.5,2.0,Audi,0.0,2
 Up,2017,8500,Manual,16259,Petrol,20,64.2,0.0,VW,0.0,3
 A3,2017,20990,Semi-Auto,22400,Diesel,145,56.5,2.0,Audi,0.0,1
 Q2,2018,21990,Semi-Auto,10800,Petrol,145,54.3,1.4,Audi,0.0,5
 A3,2014,9490,Manual,41112,Petrol,125,53.3,1.4,Audi,0.0,1
 Golf,2015,16998,Semi-Auto,22824,Petrol,165,44.1,2.0,VW,0.0,1
 GLA Class,2019,21000,Automatic,9088,Petrol,150,50.4,1.6,Mercedes,0.0,3
 Passat,2015,13698,Semi-Auto,33474,Diesel,30,61.4,2.0,VW,0.0,1
 3 Series,2012,9990,Automatic,46400,Diesel,235,44.1,3.0,BMW,0.0,1
 C Class,2016,18350,Semi-Auto,47700,Diesel,30,64.2,2.1,Mercedes,0.0,1
 GLE Class,2018,43980,Semi-Auto,6175,Diesel,145,36.7,3.0,Mercedes,0.0,4
